Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	26/11/19
8	Time	11:44
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Cylindrical
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
1:D-Walls - 1:Increment 1
 
	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
2	Surface 2	27114	9.665	7.01648E-15	-4.6	-589.694	-142.134	3.58209	-3.80368	4.99535	-0.404043	-0.291493	2.91731
3	Surface 2	27118	9.665	6.11244	-4.6	-589.278	-139.371	-0.631957	-3.61517	4.9921	-0.0699668	-0.540685	2.99027
4	Surface 2	27124	9.665	12.2246	-4.6	-588.721	-137.602	-1.71944	-3.5605	5.04628	0.273878	-1.48028	3.06141
5	Surface 2	27135	9.665	18.3371	-4.6	-588.969	-136.44	2.8224	-3.61054	5.12808	0.614199	-3.18189	2.96036
6	Surface 2	27400	9.665	4.20989E-15	-3.68	-507.765	-111.374	2.76742	-2.14231	6.46515	-0.404032	-0.0970259	0.825143
7	Surface 2	27403	9.665	6.11242	-3.68	-506.975	-109.376	-1.42514	-1.92564	6.54867	-0.0136272	-0.421411	0.841111
8	Surface 2	27407	9.665	12.2246	-3.68	-506.412	-108.138	-2.20987	-1.91604	6.64299	0.358184	-1.31	0.864683
9	Surface 2	27413	9.665	18.3371	-3.68	-506.707	-107.305	2.99458	-2.02689	6.73431	0.712787	-2.82945	0.722678
10	Surface 2	27619	9.665	1.4033E-15	-2.76	-418.785	-82.6679	1.86748	-0.727274	5.90299	-0.342492	0.0333418	-1.12521
11	Surface 2	27623	9.665	6.11241	-2.76	-417.915	-81.3893	-2.07077	-0.535509	6.03111	0.0742516	-0.355079	-1.1997
12	Surface 2	27627	9.665	12.2246	-2.76	-417.581	-80.6293	-2.47439	-0.600697	6.13554	0.453416	-1.16417	-1.22104
13	Surface 2	27633	9.665	18.3371	-2.76	-418.053	-80.033	3.41322	-0.79039	6.21236	0.809244	-2.47025	-1.39464
14	Surface 2	27840	9.665	1.4033E-15	-1.84	-323.173	-54.8091	1.27693	0.545051	4.07636	-0.258925	0.0594447	-1.86741
15	Surface 2	27844	9.665	6.11241	-1.84	-322.829	-53.8975	-2.362	0.669317	4.19158	0.164852	-0.341029	-2.01015
