Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	04/11/19
8	Time	11:48
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Local
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
11:Top Corbel T1 - 11:Increment 11
 
	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
1	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
2	Line 25104	3551	8.9	7.01648E-15	-65.7	327.071	43.6988	30.1557	0.0	-337.97	-2.67513E-3
3	Line 25104	3552	9.665	7.01648E-15	-65.7	327.071	43.6988	30.1557	0.0	-337.97	-2.67513E-3
4	Line 25104	3617	8.9	12.2246	-65.7	659.668	-826.857	-299.413	0.0	-433.319	1.04362E-3
5	Line 25104	3586	8.9	6.11244	-65.7	603.781	-405.061	-190.594	0.0	-552.942	-0.752815E-3
6	Line 25104	3591	9.665	6.11244	-65.7	603.781	-405.061	-190.594	0.0	-552.942	-0.752815E-3
7	Line 25104	3655	8.9	18.3371	-65.7	214.517	-385.505	-70.552	0.0	-97.1844	-1.93122E-3
8	Line 25104	3627	9.665	12.2246	-65.7	659.668	-826.857	-299.413	0.0	-433.319	1.04362E-3
9	Line 25104	3676	9.665	18.3371	-65.7	214.517	-385.505	-70.552	0.0	-97.1844	-1.93122E-3
10	Line 25108	3511	8.9	-7.74887	-65.7	329.783	301.451	93.3409	0.0	-294.98	-0.328975E-3
11	Line 25108	3551	8.9	7.01648E-15	-65.7	327.071	43.6988	30.1557	0.0	-337.97	-2.67513E-3
12	Line 25108	3499	9.665	-7.74887	-65.7	329.783	301.451	93.3409	0.0	-294.98	-0.328975E-3
13	Line 25108	3552	9.665	7.01648E-15	-65.7	327.071	43.6988	30.1557	0.0	-337.97	-2.67513E-3
14	Line 25109	3646	8.9	161.663	-65.7	193.798	82.3952	-91.6418	0.0	-227.321	-1.64185E-3
15	Line 25109	3668	9.665	161.663	-65.7	193.798	82.3952	-91.6418	0.0	-227.321	-1.64185E-3
16	Line 25109	3616	8.9	167.775	-65.7	590.171	162.597	-379.665	0.0	-891.65	-0.0133779
17	Line 25109	3584	8.9	173.888	-65.7	630.208	79.282	-396.611	0.0	-926.418	-2.38552E-3
18	Line 25109	3623	9.665	167.775	-65.7	590.171	162.597	-379.665	0.0	-891.65	-0.0133779
19	Line 25109	3550	8.9	-180.0	-65.7	339.686	-4.68678	-206.461	0.0	-477.308	2.94158E-3
20	Line 25109	3587	9.665	173.888	-65.7	630.208	79.282	-396.611	0.0	-926.418	-2.38552E-3
21	Line 25109	3547	9.665	-180.0	-65.7	339.686	-4.68678	-206.461	0.0	-477.308	2.94158E-3
22	Line 25110	3550	8.9	-180.0	-65.7	339.686	-4.68678	-206.461	0.0	-477.308	2.94158E-3
23	Line 25110	3502	8.9	-172.251	-65.7	304.422	-54.2053	-157.014	0.0	-432.312	4.56E-3
24	Line 25110	3547	9.665	-180.0	-65.7	339.686	-4.68678	-206.461	0.0	-477.308	2.94158E-3
25	Line 25110	3494	9.665	-172.251	-65.7	304.422	-54.2053	-157.014	0.0	-432.312	4.56E-3
26	Line 25114	3131	8.9	-37.9822	-65.7	188.016	96.6498	74.0111	0.0	14.2216	1.14445E-3
27	Line 25114	3102	9.665	-37.9822	-65.7	188.016	96.6498	74.0111	0.0	14.2216	1.14445E-3
28	Line 25114	3178	8.9	-33.0518	-65.7	502.676	490.062	143.551	0.0	-97.1303	1.40907E-3
29	Line 25114	3233	8.9	-28.1214	-65.7	158.86	262.056	27.2789	0.0	-45.7614	0.111953E-3
30	Line 25114	3144	9.665	-33.0518	-65.7	502.676	490.062	143.551	0.0	-97.1303	1.40907E-3
31	Line 25114	3201	9.665	-28.1214	-65.7	158.86	262.056	27.2789	0.0	-45.7614	0.111953E-3
32	Line 25115	3233	8.9	-28.1214	-65.7	158.86	262.056	27.2789	0.0	-45.7614	0.111953E-3
33	Line 25115	3201	9.665	-28.1214	-65.7	158.86	262.056	27.2789	0.0	-45.7614	0.111953E-3
34	Line 25115	3295	8.9	-24.9197	-65.7	75.4187	151.515	6.93953	0.0	-42.9815	-44.9824E-6
35	Line 25115	3260	8.9	-26.5207	-65.7	148.287	274.306	14.9002	0.0	-53.5425	-0.105326E-3
36	Line 25115	3220	9.665	-26.5207	-65.7	148.287	274.306	14.9002	0.0	-53.5425	-0.105326E-3
37	Line 25115	3255	9.665	-24.9197	-65.7	75.4187	151.515	6.93953	0.0	-42.9815	-44.9824E-6
38	Line 25118	3295	8.9	-24.9197	-65.7	75.4187	151.515	6.93953	0.0	-42.9815	-44.9824E-6
39	Line 25118	3255	9.665	-24.9197	-65.7	75.4187	151.515	6.93953	0.0	-42.9815	-44.9824E-6
40	Line 25118	3309	8.9	-23.1855	-65.7	94.3045	190.591	4.87134	0.0	-57.257	-0.232155E-3
41	Line 25118	3284	9.665	-23.1855	-65.7	94.3045	190.591	4.87134	0.0	-57.257	-0.232155E-3
42	Line 25119	3309	8.9	-23.1855	-65.7	94.3045	190.591	4.87134	0.0	-57.257	-0.232155E-3
43	Line 25119	3284	9.665	-23.1855	-65.7	94.3045	190.591	4.87134	0.0	-57.257	-0.232155E-3
44	Line 25119	3348	8.9	-20.819	-65.7	97.5024	192.182	9.571	0.0	-91.6965	0.144844E-3
45	Line 25119	3329	9.665	-20.819	-65.7	97.5024	192.182	9.571	0.0	-91.6965	0.144844E-3
46	Line 25120	3348	8.9	-20.819	-65.7	97.5024	192.182	9.571	0.0	-91.6965	0.144844E-3
47	Line 25120	3329	9.665	-20.819	-65.7	97.5024	192.182	9.571	0.0	-91.6965	0.144844E-3
48	Line 25120	3395	8.9	-19.0166	-65.7	60.7303	110.508	12.3053	0.0	-18.6354	0.141715E-3
49	Line 25120	3355	9.665	-19.0166	-65.7	60.7303	110.508	12.3053	0.0	-18.6354	0.141715E-3
50	Line 25123	3869	8.9	32.5601	-65.7	145.76	-179.341	130.871	0.0	-57.8896	-0.801729E-3
51	Line 25123	3843	8.9	30.3724	-65.7	94.3361	-145.15	47.131	0.0	-44.109	-98.4321E-6
52	Line 25123	3882	9.665	30.3724	-65.7	94.3361	-145.15	47.131	0.0	-44.109	-98.4321E-6
53	Line 25123	3911	9.665	32.5601	-65.7	145.76	-179.341	130.871	0.0	-57.8896	-0.801729E-3
54	Line 25124	3927	8.9	37.9822	-65.7	137.262	-79.847	143.502	0.0	-17.1535	-2.46391E-3
55	Line 25124	3869	8.9	32.5601	-65.7	145.76	-179.341	130.871	0.0	-57.8896	-0.801729E-3
56	Line 25124	3911	9.665	32.5601	-65.7	145.76	-179.341	130.871	0.0	-57.8896	-0.801729E-3
57	Line 25124	3960	9.665	37.9822	-65.7	137.262	-79.847	143.502	0.0	-17.1535	-2.46391E-3
58	Line 25127	3395	8.9	-19.0166	-65.7	60.7303	110.508	12.3053	0.0	-18.6354	0.141715E-3
59	Line 25127	3355	9.665	-19.0166	-65.7	60.7303	110.508	12.3053	0.0	-18.6354	0.141715E-3
60	Line 25127	3400	8.9	-18.3371	-65.7	141.507	249.053	34.1474	0.0	-27.2191	0.166756E-3
61	Line 25127	3377	9.665	-18.3371	-65.7	141.507	249.053	34.1474	0.0	-27.2191	0.166756E-3
62	Line 25128	3400	8.9	-18.3371	-65.7	141.507	249.053	34.1474	0.0	-27.2191	0.166756E-3
63	Line 25128	3377	9.665	-18.3371	-65.7	141.507	249.053	34.1474	0.0	-27.2191	0.166756E-3
64	Line 25128	3459	8.9	-13.3169	-65.7	255.275	390.429	85.174	0.0	-236.863	1.39729E-3
65	Line 25128	3443	9.665	-13.3169	-65.7	255.275	390.429	85.174	0.0	-236.863	1.39729E-3
66	Line 25131	3459	8.9	-13.3169	-65.7	255.275	390.429	85.174	0.0	-236.863	1.39729E-3
67	Line 25131	3443	9.665	-13.3169	-65.7	255.275	390.429	85.174	0.0	-236.863	1.39729E-3
68	Line 25131	3511	8.9	-7.74887	-65.7	329.783	301.451	93.3409	0.0	-294.98	-0.328975E-3
69	Line 25131	3499	9.665	-7.74887	-65.7	329.783	301.451	93.3409	0.0	-294.98	-0.328975E-3
70	Line 25134	3784	8.9	26.534	-65.7	84.1658	-168.636	24.8872	0.0	-61.8332	0.393824E-3
71	Line 25134	3741	8.9	24.2119	-65.7	76.2114	-153.292	11.8861	0.0	-41.0928	5.25305E-6
72	Line 25134	3778	9.665	24.2119	-65.7	76.2114	-153.292	11.8861	0.0	-41.0928	5.25305E-6
73	Line 25134	3821	9.665	26.534	-65.7	84.1658	-168.636	24.8872	0.0	-61.8332	0.393824E-3
74	Line 25135	3801	8.9	28.1214	-65.7	81.4192	-151.975	32.3574	0.0	-43.9022	0.163931E-3
75	Line 25135	3784	8.9	26.534	-65.7	84.1658	-168.636	24.8872	0.0	-61.8332	0.393824E-3
76	Line 25135	3821	9.665	26.534	-65.7	84.1658	-168.636	24.8872	0.0	-61.8332	0.393824E-3
77	Line 25135	3850	9.665	28.1214	-65.7	81.4192	-151.975	32.3574	0.0	-43.9022	0.163931E-3
78	Line 25136	3843	8.9	30.3724	-65.7	94.3361	-145.15	47.131	0.0	-44.109	-98.4321E-6
79	Line 25136	3801	8.9	28.1214	-65.7	81.4192	-151.975	32.3574	0.0	-43.9022	0.163931E-3
80	Line 25136	3850	9.665	28.1214	-65.7	81.4192	-151.975	32.3574	0.0	-43.9022	0.163931E-3
81	Line 25136	3882	9.665	30.3724	-65.7	94.3361	-145.15	47.131	0.0	-44.109	-98.4321E-6
82	Line 25139	3741	8.9	24.2119	-65.7	76.2114	-153.292	11.8861	0.0	-41.0928	5.25305E-6
83	Line 25139	3721	8.9	23.1855	-65.7	78.4378	-157.822	2.70029	0.0	-33.4933	0.170431E-3
84	Line 25139	3760	9.665	23.1855	-65.7	78.4378	-157.822	2.70029	0.0	-33.4933	0.170431E-3
85	Line 25139	3778	9.665	24.2119	-65.7	76.2114	-153.292	11.8861	0.0	-41.0928	5.25305E-6
86	Line 25142	3686	8.9	20.819	-65.7	115.148	-225.551	-17.797	0.0	-104.45	-0.82622E-3
87	Line 25142	3655	8.9	18.3371	-65.7	214.517	-385.505	-70.552	0.0	-97.1844	-1.93122E-3
88	Line 25142	3676	9.665	18.3371	-65.7	214.517	-385.505	-70.552	0.0	-97.1844	-1.93122E-3
89	Line 25142	3713	9.665	20.819	-65.7	115.148	-225.551	-17.797	0.0	-104.45	-0.82622E-3
90	Line 25143	3721	8.9	23.1855	-65.7	78.4378	-157.822	2.70029	0.0	-33.4933	0.170431E-3
91	Line 25143	3686	8.9	20.819	-65.7	115.148	-225.551	-17.797	0.0	-104.45	-0.82622E-3
92	Line 25143	3713	9.665	20.819	-65.7	115.148	-225.551	-17.797	0.0	-104.45	-0.82622E-3
93	Line 25143	3760	9.665	23.1855	-65.7	78.4378	-157.822	2.70029	0.0	-33.4933	0.170431E-3
94	Line 25144	3288	8.9	-155.08	-65.7	72.6164	-41.3923	-21.7531	0.0	-101.392	0.809451E-3
95	Line 25144	3247	9.665	-155.08	-65.7	72.6164	-41.3923	-21.7531	0.0	-101.392	0.809451E-3
96	Line 25144	3259	8.9	-153.479	-65.7	136.886	-85.7731	-38.4248	0.0	-155.636	1.19819E-3
97	Line 25144	3218	9.665	-153.479	-65.7	136.886	-85.7731	-38.4248	0.0	-155.636	1.19819E-3
98	Line 25144	3232	8.9	-151.879	-65.7	136.431	-92.452	-35.8221	0.0	-115.002	-0.289952E-3
99	Line 25144	3196	9.665	-151.879	-65.7	136.431	-92.452	-35.8221	0.0	-115.002	-0.289952E-3
100	Line 25145	3232	8.9	-151.879	-65.7	136.431	-92.452	-35.8221	0.0	-115.002	-0.289952E-3
101	Line 25145	3177	8.9	-146.948	-65.7	456.082	-338.179	-49.4022	0.0	-536.881	0.364794E-3
102	Line 25145	3196	9.665	-151.879	-65.7	136.431	-92.452	-35.8221	0.0	-115.002	-0.289952E-3
103	Line 25145	3129	8.9	-142.018	-65.7	161.977	-147.227	-5.64267	0.0	-111.145	-2.1164E-3
104	Line 25145	3142	9.665	-146.948	-65.7	456.082	-338.179	-49.4022	0.0	-536.881	0.364794E-3
105	Line 25145	3097	9.665	-142.018	-65.7	161.977	-147.227	-5.64267	0.0	-111.145	-2.1164E-3
106	Line 25148	3308	8.9	-156.815	-65.7	88.3461	-46.8761	-27.3986	0.0	-126.783	1.87037E-3
