Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	26/11/19
8	Time	11:46
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Cylindrical
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
11:Top Corbel T1 - 11:Increment 11
 
	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
2	Surface 2	27114	9.665	7.01648E-15	-4.6	-584.086	-138.555	2.35496	2.76961	6.85891	0.0726007	-0.390468	2.72855
3	Surface 2	27118	9.665	6.11244	-4.6	-584.553	-138.445	-0.586406	2.67108	6.8408	0.285221	-0.987232	2.68612
4	Surface 2	27124	9.665	12.2246	-4.6	-584.995	-138.254	-1.1974	2.18186	6.7511	0.500229	-2.17287	2.71976
5	Surface 2	27135	9.665	18.3371	-4.6	-586.043	-137.918	3.3626	1.52949	6.636	0.737244	-4.04082	2.63457
6	Surface 2	27400	9.665	4.20989E-15	-3.68	-502.347	-109.177	2.5181	4.24074	8.17178	0.0739294	-0.329878	0.370109
7	Surface 2	27403	9.665	6.11242	-3.68	-502.777	-109.06	-0.439826	4.13492	8.15582	0.292054	-0.902255	0.329857
8	Surface 2	27407	9.665	12.2246	-3.68	-503.222	-108.866	-0.908757	3.62407	8.07429	0.514872	-1.9784	0.375725
9	Surface 2	27413	9.665	18.3371	-3.68	-504.226	-108.54	4.17607	2.94798	7.97422	0.765411	-3.63469	0.304154
10	Surface 2	27619	9.665	1.4033E-15	-2.76	-414.649	-81.6018	2.67938	5.35694	7.25416	0.0737004	-0.266117	-1.82956
11	Surface 2	27623	9.665	6.11241	-2.76	-415.021	-81.4544	-0.303489	5.24386	7.24121	0.307686	-0.802212	-1.86959
12	Surface 2	27627	9.665	12.2246	-2.76	-415.426	-81.2807	-0.633108	4.71463	7.182	0.546408	-1.75384	-1.80386
13	Surface 2	27633	9.665	18.3371	-2.76	-416.333	-80.946	4.98958	4.01675	7.11088	0.815078	-3.17942	-1.85946
14	Surface 2	27840	9.665	1.4033E-15	-1.84	-322.048	-54.4532	2.84381	6.27607	4.91205	0.0706618	-0.199759	-2.66681
15	Surface 2	27844	9.665	6.11241	-1.84	-322.271	-54.0929	-0.251516	6.15755	4.90776	0.338446	-0.686733	-2.6993
16	Surface 2	27847	9.665	12.2246	-1.84	-322.584	-54.2338	-0.477869	5.60787	4.88232	0.60623	-1.49902	-2.63077
