Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	04/11/19
8	Time	11:48
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Local
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
17:Tunnel Opening T2 P3 - 17:Increment 17
 
	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
1	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
2	Line 25104	3551	8.9	7.01648E-15	-65.7	339.096	-7.36959	-825.114	0.0	-219.857	-3.20268E-3
3	Line 25104	3552	9.665	7.01648E-15	-65.7	339.096	-7.36959	-825.114	0.0	-219.857	-3.20268E-3
4	Line 25104	3617	8.9	12.2246	-65.7	783.535	-856.676	-1.53264E3	0.0	-257.83	-1.28761E-3
5	Line 25104	3586	8.9	6.11244	-65.7	709.796	-465.218	-1.78375E3	0.0	-331.853	-1.45135E-3
6	Line 25104	3591	9.665	6.11244	-65.7	709.796	-465.218	-1.78375E3	0.0	-331.853	-1.45135E-3
7	Line 25104	3655	8.9	18.3371	-65.7	263.332	-400.77	-351.818	0.0	-54.7865	-6.05462E-3
8	Line 25104	3627	9.665	12.2246	-65.7	783.535	-856.676	-1.53264E3	0.0	-257.83	-1.28761E-3
9	Line 25104	3676	9.665	18.3371	-65.7	263.332	-400.77	-351.818	0.0	-54.7865	-6.05462E-3
10	Line 25108	3511	8.9	-7.74887	-65.7	360.895	233.166	-333.565	0.0	-204.663	-90.4572E-6
11	Line 25108	3551	8.9	7.01648E-15	-65.7	339.096	-7.36959	-825.114	0.0	-219.857	-3.20268E-3
12	Line 25108	3499	9.665	-7.74887	-65.7	360.895	233.166	-333.565	0.0	-204.663	-90.4572E-6
13	Line 25108	3552	9.665	7.01648E-15	-65.7	339.096	-7.36959	-825.114	0.0	-219.857	-3.20268E-3
14	Line 25109	3646	8.9	161.663	-65.7	160.116	999.605	-545.179	0.0	-407.48	-0.199089E-3
15	Line 25109	3668	9.665	161.663	-65.7	160.116	999.605	-545.179	0.0	-407.48	-0.199089E-3
16	Line 25109	3616	8.9	167.775	-65.7	919.451	1.85175E3	-304.495	0.0	-1.20051E3	-0.0106844
17	Line 25109	3584	8.9	173.888	-65.7	1.10399E3	612.559	74.8206	0.0	-948.497	-2.0499E-3
18	Line 25109	3623	9.665	167.775	-65.7	919.451	1.85175E3	-304.495	0.0	-1.20051E3	-0.0106844
19	Line 25109	3550	8.9	-180.0	-65.7	577.973	-129.637	11.301	0.0	-395.056	2.21545E-3
20	Line 25109	3587	9.665	173.888	-65.7	1.10399E3	612.559	74.8206	0.0	-948.497	-2.0499E-3
21	Line 25109	3547	9.665	-180.0	-65.7	577.973	-129.637	11.301	0.0	-395.056	2.21545E-3
22	Line 25110	3550	8.9	-180.0	-65.7	577.973	-129.637	11.301	0.0	-395.056	2.21545E-3
23	Line 25110	3502	8.9	-172.251	-65.7	479.915	-466.804	18.8513	0.0	-333.037	0.80933E-3
24	Line 25110	3547	9.665	-180.0	-65.7	577.973	-129.637	11.301	0.0	-395.056	2.21545E-3
25	Line 25110	3494	9.665	-172.251	-65.7	479.915	-466.804	18.8513	0.0	-333.037	0.80933E-3
26	Line 25114	3131	8.9	-37.9822	-65.7	224.456	189.867	155.46	0.0	57.0237	-0.367129E-3
27	Line 25114	3102	9.665	-37.9822	-65.7	224.456	189.867	155.46	0.0	57.0237	-0.367129E-3
28	Line 25114	3178	8.9	-33.0518	-65.7	579.324	747.42	407.211	0.0	21.0836	1.92815E-3
29	Line 25114	3233	8.9	-28.1214	-65.7	171.501	336.758	114.448	0.0	-24.5169	52.2612E-6
