Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	26/11/19
8	Time	11:47
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Cylindrical
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
19:Top Door Opening T2 - 19:Increment 19
 
	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
2	Surface 2	27114	9.665	7.01648E-15	-4.6	-579.646	-140.168	2.31822	12.0885	8.5537	0.259098	-0.545466	2.95035
3	Surface 2	27118	9.665	6.11244	-4.6	-580.285	-140.048	-1.47381	11.6133	8.4656	0.782382	-1.57016	2.89957
4	Surface 2	27124	9.665	12.2246	-4.6	-581.104	-139.768	-2.84398	10.3171	8.2287	1.28364	-3.12536	2.91858
5	Surface 2	27135	9.665	18.3371	-4.6	-582.583	-139.241	1.12637	8.73129	7.9461	1.75969	-5.27235	2.79733
6	Surface 2	27400	9.665	4.20989E-15	-3.68	-497.459	-110.117	2.53403	13.8753	9.74208	0.262935	-0.482109	0.501527
7	Surface 2	27403	9.665	6.11242	-3.68	-498.067	-109.999	-1.11698	13.3856	9.66255	0.799737	-1.49152	0.458409
8	Surface 2	27407	9.665	12.2246	-3.68	-498.92	-109.76	-2.2028	12.0444	9.44541	1.31604	-2.94556	0.497844
9	Surface 2	27413	9.665	18.3371	-3.68	-500.398	-109.317	2.40879	10.4066	9.19556	1.81238	-4.88718	0.405449
10	Surface 2	27619	9.665	1.4033E-15	-2.76	-409.323	-82.0485	2.73549	15.2963	8.59515	0.268783	-0.412954	-1.82321
11	Surface 2	27623	9.665	6.11241	-2.76	-409.871	-81.9057	-0.761069	14.793	8.53006	0.836796	-1.39122	-1.85933
12	Surface 2	27627	9.665	12.2246	-2.76	-410.711	-81.7182	-1.54845	13.411	8.35547	1.38299	-2.7254	-1.79028
13	Surface 2	27633	9.665	18.3371	-2.76	-412.13	-81.3209	3.72607	11.725	8.16584	1.9099	-4.43935	-1.84671
14	Surface 2	27840	9.665	1.4033E-15	-1.84	-316.429	-54.5761	2.91862	16.5085	5.87601	0.276354	-0.338586	-2.81777
15	Surface 2	27844	9.665	6.11241	-1.84	-316.813	-54.226	-0.482861	15.9941	5.83695	0.905638	-1.26774	-2.83847
16	Surface 2	27847	9.665	12.2246	-1.84	-317.57	-54.3672	-0.990055	14.5709	5.72765	1.50495	-2.46208	-2.75618
