Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	26/11/19
8	Time	11:44
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Cylindrical
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
2:Base slab - 2:Increment 2
 
	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
2	Surface 2	27114	9.665	7.01648E-15	-4.6	-588.139	-137.3	2.27293	-5.87577	5.33815	0.0374505	-0.441775	2.59812
3	Surface 2	27118	9.665	6.11244	-4.6	-588.539	-137.209	0.0400037	-5.84045	5.34551	0.0208112	-0.638142	2.56307
4	Surface 2	27124	9.665	12.2246	-4.6	-588.716	-137.09	0.0617018	-5.7734	5.35458	0.0231258	-1.47065	2.60591
5	Surface 2	27135	9.665	18.3371	-4.6	-589.433	-136.9	5.11409	-5.71474	5.36196	0.0806808	-3.06749	2.54512
6	Surface 2	27400	9.665	4.20989E-15	-3.68	-506.764	-108.477	2.44856	-4.63271	6.77979	0.0410333	-0.380414	0.314375
7	Surface 2	27403	9.665	6.11242	-3.68	-507.123	-108.37	0.0533507	-4.59987	6.78713	0.0203434	-0.548063	0.278967
8	Surface 2	27407	9.665	12.2246	-3.68	-507.28	-108.213	0.0848471	-4.53892	6.79654	0.0216662	-1.26739	0.32914
9	Surface 2	27413	9.665	18.3371	-3.68	-507.922	-107.974	5.55491	-4.48537	6.80482	0.0847242	-2.65006	0.270826
10	Surface 2	27619	9.665	1.4033E-15	-2.76	-419.389	-81.2952	2.62765	-3.73788	6.07979	0.0436507	-0.315977	-1.78174
11	Surface 2	27623	9.665	6.11241	-2.76	-419.685	-81.1518	0.0471717	-3.70791	6.08569	0.0225099	-0.446495	-1.82058
12	Surface 2	27627	9.665	12.2246	-2.76	-419.781	-80.9894	0.0757252	-3.65018	6.10421	0.0245307	-1.04082	-1.75649
13	Surface 2	27633	9.665	18.3371	-2.76	-420.301	-80.6997	5.97465	-3.60091	6.11753	0.0921621	-2.19311	-1.81353
14	Surface 2	27840	9.665	1.4033E-15	-1.84	-326.932	-54.3949	2.81821	-3.03349	4.07858	0.0447402	-0.249238	-2.49374
15	Surface 2	27844	9.665	6.11241	-1.84	-327.08	-54.0303	-0.0533324	-3.00482	4.08582	0.03027	-0.333888	-2.52979
