Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	26/11/19
8	Time	11:47
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Cylindrical
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
21:Bottom Door Opening and Slots T2 - 21:Increment 21
 
	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
2	Surface 2	27114	9.665	7.01648E-15	-4.6	-578.482	-139.669	2.31488	15.3188	9.29289	2.12637	-1.73791	2.50191
3	Surface 2	27118	9.665	6.11244	-4.6	-579.738	-140.08	-1.29103	13.5178	8.94195	2.41235	-2.81613	2.45501
4	Surface 2	27124	9.665	12.2246	-4.6	-581.11	-140.16	-2.65116	10.9435	8.44498	2.67654	-4.38457	2.49772
5	Surface 2	27135	9.665	18.3371	-4.6	-583.036	-139.844	1.23813	8.26558	7.93758	2.93498	-6.52243	2.41464
6	Surface 2	27400	9.665	4.20989E-15	-3.68	-496.817	-109.815	2.94996	16.808	10.2517	2.13277	-1.66617	0.0178
7	Surface 2	27403	9.665	6.11242	-3.68	-497.987	-110.08	-0.555854	14.9895	9.93259	2.43047	-2.7089	5.65944E-3
8	Surface 2	27407	9.665	12.2246	-3.68	-499.333	-110.101	-1.66854	12.379	9.48861	2.71073	-4.16553	0.092139
9	Surface 2	27413	9.665	18.3371	-3.68	-501.21	-109.81	2.83223	9.66134	9.05273	2.9925	-6.0939	0.059354
10	Surface 2	27619	9.665	1.4033E-15	-2.76	-409.462	-81.8903	3.46576	17.9269	8.87065	2.16538	-1.56291	-2.2934
11	Surface 2	27623	9.665	6.11241	-2.76	-410.457	-82.0008	0.078394	16.1	8.61014	2.4983	-2.55864	-2.2747
12	Surface 2	27627	9.665	12.2246	-2.76	-411.68	-81.9852	-0.76366	13.463	8.26003	2.81273	-3.88857	-2.13929
13	Surface 2	27633	9.665	18.3371	-2.76	-413.41	-81.6899	4.38179	10.7131	7.93867	3.12899	-5.58804	-2.11908
14	Surface 2	27840	9.665	1.4033E-15	-1.84	-317.728	-54.508	3.81071	18.8471	5.96118	2.23886	-1.4322	-3.19533
15	Surface 2	27844	9.665	6.11241	-1.84	-318.335	-54.3056	0.489332	17.0198	5.78919	2.64047	-2.36857	-3.14657
16	Surface 2	27847	9.665	12.2246	-1.84	-319.269	-54.5418	-0.0912433	14.3583	5.56892	3.01298	-3.55583	-2.98919
