Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	26/11/19
8	Time	11:47
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Cylindrical
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
22:Bottom Corbel T2 - 22:Increment 22
 
	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
2	Surface 2	27114	9.665	7.01648E-15	-4.6	-578.515	-139.321	2.23053	15.2387	9.28886	2.18085	-1.76238	2.47929
3	Surface 2	27118	9.665	6.11244	-4.6	-579.779	-139.862	-1.27862	13.4098	8.93804	2.44987	-2.83563	2.42807
4	Surface 2	27124	9.665	12.2246	-4.6	-581.163	-140.041	-2.57888	10.8179	8.44013	2.69581	-4.39774	2.46946
5	Surface 2	27135	9.665	18.3371	-4.6	-583.099	-139.796	1.34288	8.13048	7.93096	2.93762	-6.5298	2.38822
6	Surface 2	27400	9.665	4.20989E-15	-3.68	-496.889	-109.562	2.8779	16.7084	10.2418	2.1908	-1.69644	-5.36852E-3
7	Surface 2	27403	9.665	6.11242	-3.68	-498.073	-109.928	-0.530936	14.8586	9.92066	2.46956	-2.73041	-0.0218825
8	Surface 2	27407	9.665	12.2246	-3.68	-499.43	-110.024	-1.58715	12.2303	9.47484	2.73004	-4.17804	0.0638038
9	Surface 2	27413	9.665	18.3371	-3.68	-501.312	-109.785	2.94122	9.50431	9.03723	2.99419	-6.09901	0.0335296
10	Surface 2	27619	9.665	1.4033E-15	-2.76	-409.586	-81.7274	3.41079	17.8062	8.85697	2.22566	-1.59884	-2.31558
11	Surface 2	27623	9.665	6.11241	-2.76	-410.605	-81.907	0.113221	15.9449	8.59236	2.53833	-2.58153	-2.30015
12	Surface 2	27627	9.665	12.2246	-2.76	-411.836	-81.9415	-0.679996	13.2904	8.23989	2.83201	-3.89972	-2.16448
13	Surface 2	27633	9.665	18.3371	-2.76	-413.565	-81.6811	4.48625	10.5339	7.91716	3.13	-5.5903	-2.14111
14	Surface 2	27840	9.665	1.4033E-15	-1.84	-317.935	-54.4214	3.78018	18.7046	5.94729	2.30077	-1.47202	-3.21274
15	Surface 2	27844	9.665	6.11241	-1.84	-318.571	-54.2595	0.530866	16.8402	5.77062	2.68132	-2.39144	-3.16499
16	Surface 2	27847	9.665	12.2246	-1.84	-319.503	-54.523	-0.0145933	14.1621	5.5483	3.03244	-3.56476	-3.00606
