Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	26/11/19
8	Time	11:48
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Cylindrical
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
23:Tunnel Loading T2 - 23:Increment 23
 
	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
2	Surface 2	27114	9.665	7.01648E-15	-4.6	-579.529	-140.822	2.8326	12.1899	8.59173	-0.243763	-0.286444	3.02394
3	Surface 2	27118	9.665	6.11244	-4.6	-580.025	-140.611	-1.19776	11.9964	8.54605	0.34921	-1.33857	2.99128
4	Surface 2	27124	9.665	12.2246	-4.6	-580.737	-140.232	-2.76682	10.9266	8.34414	0.928045	-2.9284	3.02012
5	Surface 2	27135	9.665	18.3371	-4.6	-582.142	-139.604	1.05976	9.50725	8.08738	1.48004	-5.10813	2.89917
6	Surface 2	27400	9.665	4.20989E-15	-3.68	-497.214	-110.565	2.93193	14.0485	9.79211	-0.249231	-0.204766	0.578842
7	Surface 2	27403	9.665	6.11242	-3.68	-497.665	-110.374	-0.933517	13.8558	9.75862	0.359417	-1.25	0.548982
8	Surface 2	27407	9.665	12.2246	-3.68	-498.407	-110.061	-2.19287	12.7482	9.57742	0.955118	-2.74534	0.593798
9	Surface 2	27413	9.665	18.3371	-3.68	-499.813	-109.543	2.29894	11.2789	9.35254	1.52872	-4.7243	0.497907
10	Surface 2	27619	9.665	1.4033E-15	-2.76	-408.901	-82.3238	3.00803	15.543	8.6551	-0.253422	-0.122981	-1.75106
11	Surface 2	27623	9.665	6.11241	-2.76	-409.279	-82.1276	-0.66976	15.3508	8.63443	0.38767	-1.14463	-1.78039
12	Surface 2	27627	9.665	12.2246	-2.76	-410.01	-81.8888	-1.59777	14.2083	8.49226	1.01454	-2.5258	-1.71138
13	Surface 2	27633	9.665	18.3371	-2.76	-411.365	-81.441	3.58633	12.6921	8.32329	1.61984	-4.28076	-1.7752
14	Surface 2	27840	9.665	1.4033E-15	-1.84	-315.755	-54.7161	3.05659	16.828	5.93321	-0.261445	-0.0436013	-2.76609
15	Surface 2	27844	9.665	6.11241	-1.84	-315.966	-54.3308	-0.481269	16.6373	5.92976	0.442143	-1.02207	-2.78809
16	Surface 2	27847	9.665	12.2246	-1.84	-316.626	-54.443	-1.08608	15.4585	5.84423	1.12389	-2.26732	-2.71165
17	Surface 2	27854	9.665	18.3371	-1.84	-317.69	-53.967	4.80407	13.8974	5.76551	1.77502	-3.77694	-2.73718
18	Surface 2	28060	9.665	4.20989E-15	-0.92	-220.241	-27.2508	2.51967	18.1464	2.83888	-0.221856	0.0585376	-2.63861
19	Surface 2	28064	9.665	6.11242	-0.92	-220.378	-26.9703	-0.315819	17.9535	2.84608	0.419591	-0.913785	-2.67677
20	Surface 2	28068	9.665	12.2246	-0.92	-220.34	-27.1144	-0.632436	16.7324	2.81615	1.03977	-2.02384	-2.62006
21	Surface 2	28073	9.665	18.3371	-0.92	-221.297	-26.8459	5.16344	15.1189	2.81434	1.63409	-3.21106	-2.68124
22	Surface 2	28280	9.665	0.0	0.0	-126.743	-4.34946	1.87219	19.2425	1.43266	-0.186261	0.759356	-2.27108
23	Surface 2	28284	9.665	6.11244	0.0	-124.533	-3.88039	-0.207313	19.0664	1.44375	0.390386	-2.15432	-2.34414
24	Surface 2	28287	9.665	12.2246	0.0	-126.821	-4.34749	-0.33887	17.8185	1.43741	0.943418	-5.01354	-2.28801
25	Surface 2	28294	9.665	18.3371	0.0	-124.87	-3.74505	4.75182	16.2023	1.46315	1.48918	-7.5977	-2.40596
26	Surface 3	27135	9.665	18.3371	-4.6	-582.142	-139.604	1.05976	9.50725	8.08738	1.48004	-5.10813	2.89917
27	Surface 3	27142	9.665	20.819	-4.6	-583.432	-139.363	-4.64101	8.32514	7.86617	1.65382	-4.5841	2.87492
28	Surface 3	27413	9.665	18.3371	-3.68	-499.813	-109.543	2.29894	11.2789	9.35254	1.52872	-4.7243	0.497907
29	Surface 3	27420	9.665	20.819	-3.68	-501.098	-109.368	-3.67236	10.0527	9.14334	1.70588	-4.33606	0.476656
30	Surface 3	27633	9.665	18.3371	-2.76	-411.365	-81.441	3.58633	12.6921	8.32329	1.61984	-4.28076	-1.7752
31	Surface 3	27639	9.665	20.819	-2.76	-412.589	-81.2925	-2.6043	11.422	8.13653	1.80505	-4.03775	-1.7912
32	Surface 3	27854	9.665	18.3371	-1.84	-317.69	-53.967	4.80407	13.8974	5.76551	1.77502	-3.77694	-2.73718
33	Surface 3	27860	9.665	20.819	-1.84	-318.799	-53.6753	-1.49734	12.5848	5.61575	1.97859	-3.67504	-2.74427
34	Surface 3	28073	9.665	18.3371	-0.92	-221.297	-26.8459	5.16344	15.1189	2.81434	1.63409	-3.21106	-2.68124
