Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	26/11/19
8	Time	11:48
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Cylindrical
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
24:Adit Opening A1 - 24:Increment 24
 
	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
2	Surface 2	27114	9.665	7.01648E-15	-4.6	-582.718	-143.626	5.35804	6.91035	7.57066	-1.907	0.399022	3.03479
3	Surface 2	27118	9.665	6.11244	-4.6	-582.474	-142.449	0.440362	7.61535	7.62389	-1.28392	-0.474995	3.12364
4	Surface 2	27124	9.665	12.2246	-4.6	-582.463	-141.368	-1.72306	7.51484	7.57331	-0.621746	-1.95939	3.22864
5	Surface 2	27135	9.665	18.3371	-4.6	-583.277	-140.244	1.75587	6.96861	7.47515	0.0383369	-4.08384	3.14437
6	Surface 2	27400	9.665	4.20989E-15	-3.68	-500.207	-112.509	4.78759	8.80131	8.83099	-1.96047	0.601957	0.739473
7	Surface 2	27403	9.665	6.11242	-3.68	-499.761	-111.598	0.0691388	9.58674	8.94471	-1.29642	-0.315676	0.798983
8	Surface 2	27407	9.665	12.2246	-3.68	-499.737	-110.78	-1.70556	9.49111	8.93744	-0.602596	-1.7409	0.886889
9	Surface 2	27413	9.665	18.3371	-3.68	-500.559	-109.914	2.51845	8.91731	8.87395	0.0856105	-3.68663	0.794748
10	Surface 2	27619	9.665	1.4033E-15	-2.76	-411.265	-83.5208	4.12587	10.3811	7.87012	-1.98802	0.76864	-1.45053
11	Surface 2	27623	9.665	6.11241	-2.76	-410.667	-82.8524	-0.283444	11.2266	8.01569	-1.28399	-0.176037	-1.43872
12	Surface 2	27627	9.665	12.2246	-2.76	-410.666	-82.2908	-1.60602	11.1246	8.04091	-0.557492	-1.51784	-1.36662
13	Surface 2	27633	9.665	18.3371	-2.76	-411.499	-81.623	3.40971	10.5161	8.00936	0.160257	-3.25703	-1.46159
14	Surface 2	27840	9.665	1.4033E-15	-1.84	-316.759	-55.3369	3.45692	11.7818	5.42215	-2.02028	0.877848	-2.39043
15	Surface 2	27844	9.665	6.11241	-1.84	-316.105	-54.6837	-0.625567	12.6703	5.56058	-1.26263	-0.0617095	-2.42536
16	Surface 2	27847	9.665	12.2246	-1.84	-316.205	-54.6327	-1.47599	12.5501	5.60202	-0.489164	-1.28808	-2.38357
