Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	26/11/19
8	Time	11:45
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Cylindrical
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
3:Water pressure - 3:Increment 3
 
	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
2	Surface 2	27114	9.665	7.01648E-15	-4.6	-588.148	-137.298	2.27779	-5.89631	5.33462	0.0354209	-0.439555	2.59842
3	Surface 2	27118	9.665	6.11244	-4.6	-588.547	-137.208	0.0460747	-5.85806	5.34249	0.0186929	-0.635032	2.56346
4	Surface 2	27124	9.665	12.2246	-4.6	-588.722	-137.089	0.068617	-5.78736	5.35217	0.0210134	-1.46687	2.60638
5	Surface 2	27135	9.665	18.3371	-4.6	-589.437	-136.9	5.12153	-5.72516	5.36012	0.0786678	-3.06326	2.54568
6	Surface 2	27400	9.665	4.20989E-15	-3.68	-506.773	-108.476	2.45247	-4.65333	6.77675	0.0389481	-0.378117	0.314792
7	Surface 2	27403	9.665	6.11242	-3.68	-507.131	-108.369	0.0581756	-4.61745	6.78456	0.0181405	-0.544887	0.279451
8	Surface 2	27407	9.665	12.2246	-3.68	-507.286	-108.212	0.0902861	-4.55275	6.79455	0.0194462	-1.26356	0.329663
9	Surface 2	27413	9.665	18.3371	-3.68	-507.926	-107.974	5.56073	-4.49558	6.80335	0.0825835	-2.6458	0.271388
10	Surface 2	27619	9.665	1.4033E-15	-2.76	-419.398	-81.2949	2.63055	-3.75857	6.07737	0.0414784	-0.313632	-1.78118
11	Surface 2	27623	9.665	6.11241	-2.76	-419.693	-81.1516	0.0506551	-3.72547	6.08369	0.0201749	-0.44329	-1.81999
12	Surface 2	27627	9.665	12.2246	-2.76	-419.787	-80.9892	0.0795972	-3.66389	6.10271	0.022142	-1.03697	-1.75592
13	Surface 2	27633	9.665	18.3371	-2.76	-420.304	-80.6998	5.97877	-3.61092	6.11644	0.0898227	-2.18885	-1.81298
14	Surface 2	27840	9.665	1.4033E-15	-1.84	-326.941	-54.3949	2.82001	-3.05428	4.07696	0.0424226	-0.246886	-2.49306
15	Surface 2	27844	9.665	6.11241	-1.84	-327.087	-54.0303	-0.0512833	-3.02238	4.08451	0.027721	-0.3307	-2.52914
16	Surface 2	27847	9.665	12.2246	-1.84	-327.076	-54.1728	-0.0702676	-2.96701	4.11664	0.0340857	-0.788725	-2.46892
17	Surface 2	27854	9.665	18.3371	-1.84	-327.249	-53.7684	6.26715	-2.91662	4.14383	0.103288	-1.69961	-2.52297
18	Surface 2	28060	9.665	4.20989E-15	-0.92	-231.385	-27.2838	2.43821	-2.33543	1.8844	0.0432735	-0.147968	-2.18462
19	Surface 2	28064	9.665	6.11242	-0.92	-231.489	-27.0074	-0.153654	-2.31187	1.8918	0.0304646	-0.230933	-2.23288
20	Surface 2	28068	9.665	12.2246	-0.92	-230.772	-27.1566	-0.242009	-2.26268	1.92102	0.040106	-0.557156	-2.20534
21	Surface 2	28073	9.665	18.3371	-0.92	-230.858	-26.9131	5.76943	-2.2291	1.94962	0.116541	-1.15481	-2.30322
22	Surface 2	28280	9.665	0.0	0.0	-136.104	-4.17438	1.86978	-1.36739	0.975445	0.0418148	-0.224551	-1.80216
23	Surface 2	28284	9.665	6.11244	0.0	-133.822	-3.69817	-0.178182	-1.32683	0.985082	0.0261464	-0.232551	-1.87938
24	Surface 2	28287	9.665	12.2246	0.0	-135.628	-4.19627	-0.261269	-1.30124	1.00139	0.0362453	-0.475769	-1.85928
