Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	04/11/19
8	Time	11:47
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Local
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
4:Collar - 4:Increment 4
 
	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
1	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
2	Line 25104	3551	8.9	7.01648E-15	-65.7	82.1375	9.66828	-382.921	0.0	-873.624	-9.77304E-3
3	Line 25104	3552	9.665	7.01648E-15	-65.7	82.1375	9.66828	-382.921	0.0	-873.624	-9.77304E-3
4	Line 25104	3617	8.9	12.2246	-65.7	220.544	9.90992	-729.922	0.0	-1.60713E3	0.0108303
5	Line 25104	3586	8.9	6.11244	-65.7	187.751	17.0363	-726.463	0.0	-1.66172E3	-3.57468E-3
6	Line 25104	3591	9.665	6.11244	-65.7	187.751	17.0363	-726.463	0.0	-1.66172E3	-3.57468E-3
7	Line 25104	3655	8.9	18.3371	-65.7	73.3164	0.795284	-231.217	0.0	-414.451	0.0126111
8	Line 25104	3627	9.665	12.2246	-65.7	220.544	9.90992	-729.922	0.0	-1.60713E3	0.0108303
9	Line 25104	3676	9.665	18.3371	-65.7	73.3164	0.795284	-231.217	0.0	-414.451	0.0126111
10	Line 25108	3511	8.9	-7.74887	-65.7	70.2606	4.84365	-329.198	0.0	-825.45	-1.8589E-3
11	Line 25108	3551	8.9	7.01648E-15	-65.7	82.1375	9.66828	-382.921	0.0	-873.624	-9.77304E-3
12	Line 25108	3499	9.665	-7.74887	-65.7	70.2606	4.84365	-329.198	0.0	-825.45	-1.8589E-3
13	Line 25108	3552	9.665	7.01648E-15	-65.7	82.1375	9.66828	-382.921	0.0	-873.624	-9.77304E-3
14	Line 25109	3646	8.9	161.663	-65.7	64.779	0.56917	-219.782	0.0	-410.751	-3.89389E-3
15	Line 25109	3668	9.665	161.663	-65.7	64.779	0.56917	-219.782	0.0	-410.751	-3.89389E-3
16	Line 25109	3616	8.9	167.775	-65.7	206.392	-3.74395	-706.645	0.0	-1.60768E3	-0.0264172
17	Line 25109	3584	8.9	173.888	-65.7	232.686	-14.3865	-732.315	0.0	-1.67006E3	-5.03447E-3
18	Line 25109	3623	9.665	167.775	-65.7	206.392	-3.74395	-706.645	0.0	-1.60768E3	-0.0264172
19	Line 25109	3550	8.9	-180.0	-65.7	112.439	-12.8911	-406.257	0.0	-869.813	5.75379E-3
20	Line 25109	3587	9.665	173.888	-65.7	232.686	-14.3865	-732.315	0.0	-1.67006E3	-5.03447E-3
21	Line 25109	3547	9.665	-180.0	-65.7	112.439	-12.8911	-406.257	0.0	-869.813	5.75379E-3
22	Line 25110	3550	8.9	-180.0	-65.7	112.439	-12.8911	-406.257	0.0	-869.813	5.75379E-3
23	Line 25110	3502	8.9	-172.251	-65.7	86.1853	-12.4218	-364.79	0.0	-812.735	9.74694E-3
24	Line 25110	3547	9.665	-180.0	-65.7	112.439	-12.8911	-406.257	0.0	-869.813	5.75379E-3
25	Line 25110	3494	9.665	-172.251	-65.7	86.1853	-12.4218	-364.79	0.0	-812.735	9.74694E-3
26	Line 25114	3131	8.9	-37.9822	-65.7	67.3665	3.2367	-172.96	0.0	-323.452	6.17328E-3
27	Line 25114	3102	9.665	-37.9822	-65.7	67.3665	3.2367	-172.96	0.0	-323.452	6.17328E-3
28	Line 25114	3178	8.9	-33.0518	-65.7	192.965	-6.944	-586.754	0.0	-1.35782E3	3.8858E-3
29	Line 25114	3233	8.9	-28.1214	-65.7	60.4075	-4.82462	-188.615	0.0	-278.052	1.16106E-3
30	Line 25114	3144	9.665	-33.0518	-65.7	192.965	-6.944	-586.754	0.0	-1.35782E3	3.8858E-3
31	Line 25114	3201	9.665	-28.1214	-65.7	60.4075	-4.82462	-188.615	0.0	-278.052	1.16106E-3
32	Line 25115	3233	8.9	-28.1214	-65.7	60.4075	-4.82462	-188.615	0.0	-278.052	1.16106E-3
33	Line 25115	3201	9.665	-28.1214	-65.7	60.4075	-4.82462	-188.615	0.0	-278.052	1.16106E-3
34	Line 25115	3295	8.9	-24.9197	-65.7	26.5222	-2.30026	-91.1529	0.0	-229.227	-1.25861E-3
35	Line 25115	3260	8.9	-26.5207	-65.7	54.6059	-4.46447	-178.597	0.0	-347.463	-3.15905E-3
36	Line 25115	3220	9.665	-26.5207	-65.7	54.6059	-4.46447	-178.597	0.0	-347.463	-3.15905E-3
37	Line 25115	3255	9.665	-24.9197	-65.7	26.5222	-2.30026	-91.1529	0.0	-229.227	-1.25861E-3
38	Line 25118	3295	8.9	-24.9197	-65.7	26.5222	-2.30026	-91.1529	0.0	-229.227	-1.25861E-3
39	Line 25118	3255	9.665	-24.9197	-65.7	26.5222	-2.30026	-91.1529	0.0	-229.227	-1.25861E-3
40	Line 25118	3309	8.9	-23.1855	-65.7	29.7328	-2.36188	-110.196	0.0	-279.411	-3.95253E-3
41	Line 25118	3284	9.665	-23.1855	-65.7	29.7328	-2.36188	-110.196	0.0	-279.411	-3.95253E-3
42	Line 25119	3309	8.9	-23.1855	-65.7	29.7328	-2.36188	-110.196	0.0	-279.411	-3.95253E-3
43	Line 25119	3284	9.665	-23.1855	-65.7	29.7328	-2.36188	-110.196	0.0	-279.411	-3.95253E-3
44	Line 25119	3348	8.9	-20.819	-65.7	26.8844	-1.79495	-107.95	0.0	-367.57	-1.7615E-3
45	Line 25119	3329	9.665	-20.819	-65.7	26.8844	-1.79495	-107.95	0.0	-367.57	-1.7615E-3
46	Line 25120	3348	8.9	-20.819	-65.7	26.8844	-1.79495	-107.95	0.0	-367.57	-1.7615E-3
