Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	26/11/19
8	Time	11:45
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Cylindrical
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
4:Collar - 4:Increment 4
 
	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
2	Surface 2	27114	9.665	7.01648E-15	-4.6	-588.12	-137.309	2.27841	-5.83827	5.34535	0.0353709	-0.439246	2.60052
3	Surface 2	27118	9.665	6.11244	-4.6	-588.519	-137.219	0.0409054	-5.80097	5.35301	0.021117	-0.637452	2.5655
4	Surface 2	27124	9.665	12.2246	-4.6	-588.696	-137.1	0.0583176	-5.73406	5.36197	0.0257299	-1.47169	2.60829
5	Surface 2	27135	9.665	18.3371	-4.6	-589.414	-136.909	5.10727	-5.6767	5.36901	0.0853196	-3.06993	2.5473
6	Surface 2	27400	9.665	4.20989E-15	-3.68	-506.742	-108.482	2.45298	-4.59272	6.78689	0.0388801	-0.377798	0.316304
7	Surface 2	27403	9.665	6.11242	-3.68	-507.099	-108.376	0.0539172	-4.55783	6.79452	0.0205901	-0.547382	0.28091
8	Surface 2	27407	9.665	12.2246	-3.68	-507.256	-108.219	0.0818466	-4.4971	6.80383	0.0242283	-1.26853	0.331023
9	Surface 2	27413	9.665	18.3371	-3.68	-507.9	-107.979	5.54912	-4.44499	6.8118	0.0893389	-2.65266	0.272538
10	Surface 2	27619	9.665	1.4033E-15	-2.76	-419.363	-81.2982	2.63092	-3.69548	6.08621	0.0413946	-0.313307	-1.78055
11	Surface 2	27623	9.665	6.11241	-2.76	-419.658	-81.1548	0.0474468	-3.66341	6.09238	0.0226965	-0.445835	-1.81939
12	Surface 2	27627	9.665	12.2246	-2.76	-419.755	-80.9923	0.0732779	-3.60598	6.1108	0.0270783	-1.04204	-1.75536
13	Surface 2	27633	9.665	18.3371	-2.76	-420.275	-80.7023	5.97014	-3.55827	6.12386	0.0968071	-2.19584	-1.81252
14	Surface 2	27840	9.665	1.4033E-15	-1.84	-326.902	-54.3959	2.8202	-2.9888	4.08344	0.0423155	-0.246557	-2.49362
15	Surface 2	27844	9.665	6.11241	-1.84	-327.048	-54.0313	-0.0532758	-2.95798	4.0909	0.0303851	-0.333258	-2.52968
16	Surface 2	27847	9.665	12.2246	-1.84	-327.041	-54.1737	-0.0741672	-2.90692	4.12258	0.0393132	-0.793812	-2.46946
17	Surface 2	27854	9.665	18.3371	-1.84	-327.217	-53.7691	6.26182	-2.86199	4.14935	0.110695	-1.70661	-2.52345
18	Surface 2	28060	9.665	4.20989E-15	-0.92	-231.345	-27.2836	2.43823	-2.26755	1.88779	0.0431514	-0.14765	-2.18601
19	Surface 2	28064	9.665	6.11242	-0.92	-231.45	-27.0073	-0.154433	-2.2451	1.89515	0.0328261	-0.233491	-2.23425
20	Surface 2	28068	9.665	12.2246	-0.92	-230.736	-27.1564	-0.243522	-2.20039	1.92414	0.0447495	-0.562239	-2.20662
21	Surface 2	28073	9.665	18.3371	-0.92	-230.825	-26.9129	5.76727	-2.17245	1.9526	0.123098	-1.16179	-2.30438
22	Surface 2	28280	9.665	0.0	0.0	-136.068	-4.17479	1.86973	-1.29895	0.977096	0.0416834	-0.223676	-1.80372
23	Surface 2	28284	9.665	6.11244	0.0	-133.787	-3.69862	-0.178323	-1.25952	0.986716	0.0282249	-0.242036	-1.88092
24	Surface 2	28287	9.665	12.2246	0.0	-135.595	-4.19664	-0.261551	-1.23844	1.00293	0.0403201	-0.494478	-1.8607
25	Surface 2	28294	9.665	18.3371	0.0	-132.853	-3.61557	4.91566	-1.19725	1.02896	0.121377	-0.997996	-2.0058
26	Surface 3	27135	9.665	18.3371	-4.6	-589.414	-136.909	5.10727	-5.6767	5.36901	0.0853196	-3.06993	2.5473
27	Surface 3	27142	9.665	20.819	-4.6	-590.109	-136.834	0.184609	-5.64436	5.37453	0.0273708	-2.15695	2.52511
28	Surface 3	27413	9.665	18.3371	-3.68	-507.9	-107.979	5.54912	-4.44499	6.8118	0.0893389	-2.65266	0.272538
29	Surface 3	27420	9.665	20.819	-3.68	-508.535	-107.891	0.221471	-4.41636	6.81705	0.026891	-1.86518	0.250538
30	Surface 3	27633	9.665	18.3371	-2.76	-420.275	-80.7023	5.97014	-3.55827	6.12386	0.0968071	-2.19584	-1.81252
31	Surface 3	27639	9.665	20.819	-2.76	-420.796	-80.5815	0.261832	-3.53343	6.129	0.0292293	-1.54732	-1.83532
32	Surface 3	27854	9.665	18.3371	-1.84	-327.217	-53.7691	6.26182	-2.86199	4.14935	0.110695	-1.70661	-2.52345
33	Surface 3	27860	9.665	20.819	-1.84	-327.588	-53.4602	0.241434	-2.83962	4.15553	0.038067	-1.19949	-2.54797
34	Surface 3	28073	9.665	18.3371	-0.92	-230.825	-26.9129	5.76727	-2.17245	1.9526	0.123098	-1.16179	-2.30438
35	Surface 3	28078	9.665	20.819	-0.92	-230.992	-26.6817	-0.0355751	-2.16376	1.95689	0.0420648	-0.822473	-2.32728
36	Surface 3	28294	9.665	18.3371	0.0	-132.853	-3.61557	4.91566	-1.19725	1.02896	0.121377	-0.997996	-2.0058
37	Surface 3	28300	9.665	20.819	0.0	-129.648	-2.99105	-0.452872	-1.16279	1.03784	0.0342342	-0.658391	-2.03475
38	Surface 12	27127	9.665	161.663	-4.6	-589.433	-136.902	-5.08978	-5.71367	5.36299	-0.0957645	3.07757	2.54664
39	Surface 12	27139	9.665	159.181	-4.6	-590.131	-136.827	-0.169121	-5.68543	5.36761	-0.037358	2.16351	2.5243
40	Surface 12	27410	9.665	161.663	-3.68	-507.92	-107.975	-5.53406	-4.48283	6.8062	-0.0996947	2.66082	0.272214
41	Surface 12	27415	9.665	159.181	-3.68	-508.558	-107.886	-0.208041	-4.45866	6.81055	-0.036764	1.87225	0.250089
42	Surface 12	27630	9.665	161.663	-2.76	-420.297	-80.7004	-5.95829	-3.59696	6.11909	-0.107232	2.20439	-1.81238
43	Surface 12	27635	9.665	159.181	-2.76	-420.821	-80.5795	-0.251199	-3.57694	6.12338	-0.0391308	1.55479	-1.83527
