Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	26/11/19
8	Time	11:45
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Cylindrical
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
5:Internal Structures Dead Load - 5:Increment 5
 
	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
2	Surface 2	27114	9.665	7.01648E-15	-4.6	-588.208	-137.276	2.27008	-6.01804	5.31309	0.0399118	-0.444737	2.59482
3	Surface 2	27118	9.665	6.11244	-4.6	-588.607	-137.186	0.0500038	-5.98247	5.32014	0.0187489	-0.634378	2.56008
4	Surface 2	27124	9.665	12.2246	-4.6	-588.779	-137.068	0.0832626	-5.90791	5.33016	0.0167992	-1.46085	2.60332
5	Surface 2	27135	9.665	18.3371	-4.6	-589.49	-136.88	5.14473	-5.83879	5.33896	0.0706908	-3.05298	2.54323
6	Surface 2	27400	9.665	4.20989E-15	-3.68	-506.839	-108.463	2.44596	-4.77957	6.75647	0.0433501	-0.38324	0.31244
7	Surface 2	27403	9.665	6.11242	-3.68	-507.197	-108.357	0.0610632	-4.74643	6.76366	0.0179855	-0.544044	0.27724
8	Surface 2	27407	9.665	12.2246	-3.68	-507.349	-108.2	0.101787	-4.67769	6.77411	0.0149022	-1.25723	0.327656
9	Surface 2	27413	9.665	18.3371	-3.68	-507.986	-107.963	5.57895	-4.61332	6.78381	0.0741639	-2.63514	0.269784
10	Surface 2	27619	9.665	1.4033E-15	-2.76	-419.471	-81.2889	2.62555	-3.88917	6.05983	0.0459695	-0.318724	-1.78178
11	Surface 2	27623	9.665	6.11241	-2.76	-419.766	-81.1457	0.0525623	-3.85888	6.06565	0.0198942	-0.442342	-1.82051
12	Surface 2	27627	9.665	12.2246	-2.76	-419.858	-80.9835	0.0878051	-3.79311	6.08515	0.0172613	-1.03049	-1.75633
13	Surface 2	27633	9.665	18.3371	-2.76	-420.37	-80.6947	5.9918	-3.7327	6.09965	0.0808702	-2.178	-1.81324
14	Surface 2	27840	9.665	1.4033E-15	-1.84	-327.018	-54.3932	2.81696	-3.18907	4.06422	0.0471892	-0.251934	-2.49141
15	Surface 2	27844	9.665	6.11241	-1.84	-327.165	-54.0287	-0.0502498	-3.16006	4.0714	0.0273428	-0.329707	-2.52745
