Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	26/11/19
8	Time	11:45
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Cylindrical
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
6:Tunnel Opening T1 P1 - 6:Increment 6
 
	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
2	Surface 2	27114	9.665	7.01648E-15	-4.6	-587.442	-137.52	1.19022	-4.39747	5.59555	0.30413	-1.14672	2.6172
3	Surface 2	27118	9.665	6.11244	-4.6	-588.218	-137.357	-1.14618	-5.18264	5.4636	0.316898	-1.39635	2.57826
4	Surface 2	27124	9.665	12.2246	-4.6	-588.767	-137.152	-1.16669	-5.92353	5.3364	0.335734	-2.24246	2.61735
5	Surface 2	27135	9.665	18.3371	-4.6	-589.801	-136.858	3.8843	-6.55566	5.23029	0.394718	-3.82962	2.54798
6	Surface 2	27400	9.665	4.20989E-15	-3.68	-506.006	-108.601	1.61906	-3.11827	7.01565	0.329004	-1.08565	0.321749
7	Surface 2	27403	9.665	6.11242	-3.68	-506.765	-108.46	-0.85913	-3.91886	6.89622	0.339037	-1.30732	0.288691
8	Surface 2	27407	9.665	12.2246	-3.68	-507.32	-108.259	-0.863297	-4.6792	6.78251	0.356753	-2.04097	0.34178
9	Surface 2	27413	9.665	18.3371	-3.68	-508.303	-107.96	4.60341	-5.32787	6.6908	0.420765	-3.41453	0.283142
10	Surface 2	27619	9.665	1.4033E-15	-2.76	-418.58	-81.3505	2.05944	-2.18827	6.27998	0.365437	-1.01526	-1.79059
11	Surface 2	27623	9.665	6.11241	-2.76	-419.292	-81.1985	-0.580994	-3.00428	6.17888	0.377207	-1.20004	-1.81919
12	Surface 2	27627	9.665	12.2246	-2.76	-419.802	-81.0211	-0.580359	-3.78075	6.09514	0.395877	-1.8092	-1.74373
13	Surface 2	27633	9.665	18.3371	-2.76	-420.678	-80.7021	5.31551	-4.44449	6.02997	0.463783	-2.95295	-1.79073
14	Surface 2	27840	9.665	1.4033E-15	-1.84	-326.105	-54.4065	2.51039	-1.44973	4.22283	0.418822	-0.934839	-2.52311
15	Surface 2	27844	9.665	6.11241	-1.84	-326.657	-54.048	-0.394408	-2.27916	4.15275	0.441234	-1.07319	-2.53913
16	Surface 2	27847	9.665	12.2246	-1.84	-327.057	-54.1921	-0.432769	-3.07447	4.11297	0.464827	-1.54693	-2.45846
17	Surface 2	27854	9.665	18.3371	-1.84	-327.586	-53.777	5.90584	-3.75151	4.09242	0.533645	-2.45037	-2.49245
18	Surface 2	28060	9.665	4.20989E-15	-0.92	-230.605	-27.2757	2.34076	-0.694473	1.95877	0.403684	-0.819533	-2.2261
19	Surface 2	28064	9.665	6.11242	-0.92	-231.058	-27.009	-0.259013	-1.54525	1.92725	0.425854	-0.954525	-2.24878
20	Surface 2	28068	9.665	12.2246	-0.92	-230.698	-27.1656	-0.356869	-2.36093	1.92099	0.450616	-1.2984	-2.19814
21	Surface 2	28073	9.665	18.3371	-0.92	-231.096	-26.9216	5.66404	-3.0663	1.93144	0.526288	-1.88592	-2.27812
22	Surface 2	28280	9.665	0.0	0.0	-135.532	-4.19356	1.86629	0.278818	1.00964	0.383403	-2.06224	-1.84383
23	Surface 2	28284	9.665	6.11244	0.0	-133.457	-3.70624	-0.17646	-0.554891	1.00278	0.402603	-2.23954	-1.89535
24	Surface 2	28287	9.665	12.2246	0.0	-135.474	-4.19167	-0.264927	-1.3952	1.00334	0.422222	-2.53722	-1.85393
25	Surface 2	28294	9.665	18.3371	0.0	-132.912	-3.59465	4.92823	-2.09066	1.02343	0.505181	-3.02594	-1.9877
26	Surface 3	27135	9.665	18.3371	-4.6	-589.801	-136.858	3.8843	-6.55566	5.23029	0.394718	-3.82962	2.54798
