Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	26/11/19
8	Time	11:48
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Cylindrical
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
92:Long Term S - Results - 25:Increment 25
 
	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
2	Surface 2	27114	9.665	7.01648E-15	-4.6	-470.931	-138.999	2.43151	4.57049	6.96692	0.0256095	-0.32994	2.52317
3	Surface 2	27118	9.665	6.11244	-4.6	-471.345	-138.878	-0.782624	4.42079	6.93891	0.386506	-0.911654	2.47701
4	Surface 2	27124	9.665	12.2246	-4.6	-471.789	-138.645	-1.5549	3.85477	6.8313	0.740436	-1.94975	2.50137
5	Surface 2	27135	9.665	18.3371	-4.6	-472.75	-138.255	3.07635	3.12523	6.69472	1.09781	-3.51084	2.39402
6	Surface 2	27400	9.665	4.20989E-15	-3.68	-386.371	-109.5	2.58887	6.18304	8.03323	0.0290122	-0.264448	0.356851
7	Surface 2	27403	9.665	6.11242	-3.68	-386.75	-109.377	-0.614454	6.024	8.00808	0.392992	-0.82935	0.313252
8	Surface 2	27407	9.665	12.2246	-3.68	-387.211	-109.153	-1.22978	5.42564	7.90759	0.752199	-1.76149	0.350723
9	Surface 2	27413	9.665	18.3371	-3.68	-388.141	-108.79	3.91401	4.65842	7.78423	1.12058	-3.10913	0.259309
10	Surface 2	27619	9.665	1.4033E-15	-2.76	-296.301	-81.799	2.74108	7.47497	7.08372	0.0316156	-0.196406	-1.60461
11	Surface 2	27623	9.665	6.11241	-2.76	-296.625	-81.6495	-0.446766	7.30664	7.06276	0.409243	-0.731555	-1.64701
12	Surface 2	27627	9.665	12.2246	-2.76	-297.065	-81.4556	-0.8992	6.67946	6.9851	0.781993	-1.54241	-1.58764
13	Surface 2	27633	9.665	18.3371	-2.76	-297.918	-81.0968	4.7696	5.87711	6.89138	1.16603	-2.65813	-1.65851
14	Surface 2	27840	9.665	1.4033E-15	-1.84	-201.747	-54.5457	2.89845	8.58774	4.83717	0.0319429	-0.126294	-2.40677
15	Surface 2	27844	9.665	6.11241	-1.84	-201.926	-54.1821	-0.352722	8.41197	4.82701	0.442626	-0.617052	-2.43973
16	Surface 2	27847	9.665	12.2246	-1.84	-202.295	-54.3152	-0.667126	7.7545	4.78671	0.843065	-1.29069	-2.37437
17	Surface 2	27854	9.665	18.3371	-1.84	-202.845	-53.8788	5.54768	6.91962	4.74795	1.24851	-2.15966	-2.41883
18	Surface 2	28060	9.665	4.20989E-15	-0.92	-104.823	-27.2562	2.47776	9.71858	2.30885	0.0319139	-0.0263063	-2.2674
