Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	26/11/19
8	Time	11:48
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Cylindrical
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
93:Long Term S+HS - Results - 26:Increment 26
 
	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
2	Surface 2	27114	9.665	7.01648E-15	-4.6	-470.425	-139.106	2.43845	5.62716	7.13466	0.0245093	-0.32609	2.517
3	Surface 2	27118	9.665	6.11244	-4.6	-470.847	-138.982	-0.845586	5.45807	7.10349	0.39291	-0.956627	2.47078
4	Surface 2	27124	9.665	12.2246	-4.6	-471.324	-138.744	-1.68045	4.82086	6.98433	0.753896	-2.03768	2.49584
5	Surface 2	27135	9.665	18.3371	-4.6	-472.326	-138.34	2.90139	4.00159	6.83392	1.11709	-3.63168	2.38829
6	Surface 2	27400	9.665	4.20989E-15	-3.68	-385.85	-109.553	2.5941	7.24547	8.18292	0.0278429	-0.260591	0.341486
7	Surface 2	27403	9.665	6.11242	-3.68	-386.238	-109.429	-0.661395	7.06698	8.15508	0.400982	-0.873813	0.29808
8	Surface 2	27407	9.665	12.2246	-3.68	-386.733	-109.203	-1.3236	6.39709	8.04441	0.768756	-1.84846	0.336744
9	Surface 2	27413	9.665	18.3371	-3.68	-387.706	-108.832	3.78288	5.5398	7.90948	1.14431	-3.22862	0.24634
10	Surface 2	27619	9.665	1.4033E-15	-2.76	-295.783	-81.8169	2.74407	8.54285	7.20517	0.0303532	-0.192563	-1.6299
11	Surface 2	27623	9.665	6.11241	-2.76	-296.116	-81.6672	-0.477679	8.35502	7.18221	0.419623	-0.775189	-1.67179
12	Surface 2	27627	9.665	12.2246	-2.76	-296.59	-81.4732	-0.961241	7.65598	7.09627	0.803238	-1.62778	-1.61075
13	Surface 2	27633	9.665	18.3371	-2.76	-297.486	-81.1113	4.68157	6.76327	6.99421	1.19646	-2.77538	-1.67923
14	Surface 2	27840	9.665	1.4033E-15	-1.84	-201.268	-54.5434	2.89817	9.66138	4.91932	0.0305089	-0.122479	-2.44055
15	Surface 2	27844	9.665	6.11241	-1.84	-201.455	-54.1808	-0.368057	9.46607	4.90807	0.456533	-0.659552	-2.47268
16	Surface 2	27847	9.665	12.2246	-1.84	-201.855	-54.3141	-0.698386	8.73641	4.86195	0.87122	-1.37385	-2.40528
17	Surface 2	27854	9.665	18.3371	-1.84	-202.446	-53.8775	5.49959	7.81082	4.81907	1.28883	-2.27375	-2.44626
18	Surface 2	28060	9.665	4.20989E-15	-0.92	-104.449	-27.2467	2.47485	10.8007	2.3481	0.0304451	-0.0227265	-2.29893
19	Surface 2	28064	9.665	6.11242	-0.92	-104.588	-26.9729	-0.270683	10.5935	2.34796	0.415819	-0.555364	-2.3408
20	Surface 2	28068	9.665	12.2246	-0.92	-104.288	-27.1245	-0.477773	9.82989	2.33693	0.791571	-1.13443	-2.29545
21	Surface 2	28073	9.665	18.3371	-0.92	-104.789	-26.8706	5.49376	8.86142	2.34285	1.17563	-1.71184	-2.37232
22	Surface 2	28280	9.665	0.0	0.0	-9.16005	-4.16866	1.88542	11.8769	1.21061	0.02852	-0.0376131	-1.98539
23	Surface 2	28284	9.665	6.11244	0.0	-6.90431	-3.69192	-0.194375	11.685	1.21747	0.370312	-1.70853	-2.05756
24	Surface 2	28287	9.665	12.2246	0.0	-9.03872	-4.18033	-0.300674	10.894	1.21736	0.702818	-3.28868	-2.01462
25	Surface 2	28294	9.665	18.3371	0.0	-6.63586	-3.58406	4.89255	9.92824	1.24061	1.05725	-4.64084	-2.14345
26	Surface 3	27135	9.665	18.3371	-4.6	-472.326	-138.34	2.90139	4.00159	6.83392	1.11709	-3.63168	2.38829
27	Surface 3	27142	9.665	20.819	-4.6	-473.247	-138.188	-2.63062	3.3275	6.70644	1.19746	-3.11447	2.35943
28	Surface 3	27413	9.665	18.3371	-3.68	-387.706	-108.832	3.78288	5.5398	7.90948	1.14431	-3.22862	0.24634
