Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	26/11/19
8	Time	11:48
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Cylindrical
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
116:Long Term S+HS+Su1 - Results - 25:Increment 25
 
	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
2	Surface 2	27114	9.665	7.01648E-15	-4.6	-892.139	-139.361	2.11313	1.21178	7.1145	0.0188876	-0.664505	4.21752
3	Surface 2	27118	9.665	6.11244	-4.6	-892.823	-139.21	-0.913109	1.04426	7.08497	0.402967	-1.48203	4.17544
4	Surface 2	27124	9.665	12.2246	-4.6	-893.439	-138.982	-1.80444	0.390605	6.9645	0.775612	-3.22387	4.19459
5	Surface 2	27135	9.665	18.3371	-4.6	-894.928	-138.549	2.00943	-0.465766	6.81066	1.14006	-6.04538	4.09364
6	Surface 2	27400	9.665	4.20989E-15	-3.68	-817.593	-109.605	2.30863	2.95973	9.378	0.0225971	-0.60702	1.15932
7	Surface 2	27403	9.665	6.11242	-3.68	-818.259	-109.456	-0.71637	2.78295	9.35204	0.41223	-1.41118	1.11946
8	Surface 2	27407	9.665	12.2246	-3.68	-818.896	-109.247	-1.42263	2.09627	9.24109	0.792812	-3.06148	1.15277
9	Surface 2	27413	9.665	18.3371	-3.68	-820.382	-108.856	3.01878	1.20155	9.10424	1.17177	-5.69726	1.06861
10	Surface 2	27619	9.665	1.4033E-15	-2.76	-735.666	-81.8012	2.51566	4.21788	8.64	0.0255508	-0.54571	-1.90393
11	Surface 2	27623	9.665	6.11241	-2.76	-736.285	-81.6313	-0.51944	4.0317	8.619	0.432392	-1.32275	-1.94308
12	Surface 2	27627	9.665	12.2246	-2.76	-736.904	-81.4586	-1.03413	3.31534	8.5332	0.830518	-2.86309	-1.88723
13	Surface 2	27633	9.665	18.3371	-2.76	-738.329	-81.0844	4.08565	2.3846	8.43074	1.23045	-5.28892	-1.95057
14	Surface 2	27840	9.665	1.4033E-15	-1.84	-647.409	-54.5198	2.71717	5.18544	5.90493	0.025762	-0.481064	-3.11522
15	Surface 2	27844	9.665	6.11241	-1.84	-647.887	-54.1517	-0.391739	4.99158	5.89539	0.470731	-1.21549	-3.14543
16	Surface 2	27847	9.665	12.2246	-1.84	-648.438	-54.2948	-0.737612	4.24423	5.84892	0.902138	-2.62681	-3.0826
17	Surface 2	27854	9.665	18.3371	-1.84	-649.567	-53.8568	5.05674	3.27982	5.80656	1.33052	-4.82171	-3.1197
18	Surface 2	28060	9.665	4.20989E-15	-0.92	-555.418	-27.2427	2.34934	6.16938	2.76424	0.0258448	-0.387061	-2.83554
19	Surface 2	28064	9.665	6.11242	-0.92	-555.846	-26.9744	-0.276287	5.96398	2.76487	0.428403	-1.1177	-2.87614
20	Surface 2	28068	9.665	12.2246	-0.92	-555.723	-27.1255	-0.485006	5.18269	2.75341	0.819815	-2.40075	-2.83288
21	Surface 2	28073	9.665	18.3371	-0.92	-556.757	-26.8707	5.19164	4.17598	2.75983	1.21492	-4.28875	-2.90588
22	Surface 2	28280	9.665	0.0	0.0	-464.092	-4.54761	1.79541	7.15147	1.36918	0.023751	-0.38819	-2.33458
23	Surface 2	28284	9.665	6.11244	0.0	-462.228	-4.09628	-0.191718	6.96038	1.37584	0.380888	-2.30996	-2.40569
24	Surface 2	28287	9.665	12.2246	0.0	-464.426	-4.55925	-0.292084	6.15273	1.37583	0.727575	-4.64755	-2.36297
25	Surface 2	28294	9.665	18.3371	0.0	-462.653	-3.97751	4.66753	5.14772	1.39899	1.09232	-7.3612	-2.48721
26	Surface 3	27135	9.665	18.3371	-4.6	-894.928	-138.549	2.00943	-0.465766	6.81066	1.14006	-6.04538	4.09364
27	Surface 3	27142	9.665	20.819	-4.6	-896.314	-138.374	-2.84623	-1.17892	6.67798	1.23329	-4.85547	4.06836
28	Surface 3	27413	9.665	18.3371	-3.68	-820.382	-108.856	3.01878	1.20155	9.10424	1.17177	-5.69726	1.06861
29	Surface 3	27420	9.665	20.819	-3.68	-821.764	-108.713	-2.22606	0.456648	8.97748	1.26378	-4.62671	1.04538
30	Surface 3	27633	9.665	18.3371	-2.76	-738.329	-81.0844	4.08565	2.3846	8.43074	1.23045	-5.28892	-1.95057
31	Surface 3	27639	9.665	20.819	-2.76	-739.644	-80.9451	-1.53942	1.60804	8.31686	1.32363	-4.35072	-1.97067
32	Surface 3	27854	9.665	18.3371	-1.84	-649.567	-53.8568	5.05674	3.27982	5.80656	1.33052	-4.82171	-3.1197
33	Surface 3	27860	9.665	20.819	-1.84	-650.761	-53.5611	-0.845326	2.4732	5.71554	1.43153	-4.01657	-3.13446
34	Surface 3	28073	9.665	18.3371	-0.92	-556.757	-26.8707	5.19164	4.17598	2.75983	1.21492	-4.28875	-2.90588
35	Surface 3	28078	9.665	20.819	-0.92	-557.737	-26.6619	-0.432298	3.33288	2.70427	1.2994	-3.63478	-2.90966
36	Surface 3	28294	9.665	18.3371	0.0	-462.653	-3.97751	4.66753	5.14772	1.39899	1.09232	-7.3612	-2.48721
37	Surface 3	28300	9.665	20.819	0.0	-460.331	-3.38463	-0.485144	4.3247	1.37292	1.16699	-7.26956	-2.49172
38	Surface 12	27127	9.665	161.663	-4.6	-894.899	-138.553	-2.03478	-0.393755	6.8233	-1.14519	6.02281	4.09107
39	Surface 12	27139	9.665	159.181	-4.6	-896.279	-138.378	2.82269	-1.09375	6.6927	-1.23825	4.83472	4.06521
40	Surface 12	27410	9.665	161.663	-3.68	-820.353	-108.857	-3.03584	1.27283	9.11446	-1.17579	5.67542	1.06578
41	Surface 12	27415	9.665	159.181	-3.68	-821.729	-108.715	2.2102	0.540871	8.98957	-1.2677	4.60665	1.04201
42	Surface 12	27630	9.665	161.663	-2.76	-738.301	-81.0844	-4.09495	2.45521	8.43829	-1.23299	5.26796	-1.95367
43	Surface 12	27635	9.665	159.181	-2.76	-739.611	-80.9448	1.53065	1.69141	8.32599	-1.32614	4.33148	-1.97427
44	Surface 12	27851	9.665	161.663	-1.84	-649.543	-53.8561	-5.05937	3.34988	5.81112	-1.33107	4.80174	-3.12285
45	Surface 12	27856	9.665	159.181	-1.84	-650.732	-53.5602	0.842521	2.55585	5.72137	-1.43217	3.99827	-3.13805
46	Surface 12	28071	9.665	161.663	-0.92	-556.742	-26.8698	-5.19036	4.24573	2.76169	-1.21372	4.26981	-2.90819
47	Surface 12	28076	9.665	159.181	-0.92	-557.72	-26.6609	0.432859	3.41513	2.70697	-1.29837	3.61751	-2.91237
48	Surface 12	28291	9.665	161.663	0.0	-462.656	-3.97911	-4.66535	5.21714	1.39966	-1.0896	7.3317	-2.48875
49	Surface 12	28296	9.665	159.181	0.0	-460.337	-3.38674	0.486471	4.40646	1.37412	-1.16448	7.24259	-2.49366
50	Surface 13	27108	9.665	-180.0	-4.6	-892.146	-139.361	-2.14232	1.20549	7.11573	-0.0235621	0.638622	4.21729
51	Surface 13	27116	9.665	173.888	-4.6	-892.817	-139.211	0.883794	1.06754	7.0907	-0.408117	1.45625	4.17435
52	Surface 13	27123	9.665	167.775	-4.6	-893.42	-138.985	1.77662	0.440832	6.97417	-0.780867	3.19947	4.19267
53	Surface 13	27127	9.665	161.663	-4.6	-894.899	-138.553	-2.03478	-0.393755	6.8233	-1.14519	6.02281	4.09107
54	Surface 13	27396	9.665	-180.0	-3.68	-817.6	-109.605	-2.32874	2.95387	9.37856	-0.0261239	0.581884	1.15929
55	Surface 13	27402	9.665	173.888	-3.68	-818.252	-109.457	0.696458	2.80627	9.35647	-0.416179	1.38627	1.11843
56	Surface 13	27405	9.665	167.775	-3.68	-818.877	-109.248	1.40386	2.14613	9.24888	-0.796895	3.03792	1.15078
57	Surface 13	27410	9.665	161.663	-3.68	-820.353	-108.857	-3.03584	1.27283	9.11446	-1.17579	5.67542	1.06578
58	Surface 13	27617	9.665	-180.0	-2.76	-735.672	-81.8014	-2.52729	4.21246	8.64016	-0.0274657	0.521474	-1.9038
59	Surface 13	27622	9.665	173.888	-2.76	-736.278	-81.6313	0.508042	4.05509	8.62223	-0.434699	1.29879	-1.94407
60	Surface 13	27626	9.665	167.775	-2.76	-736.886	-81.4585	1.02348	3.36488	8.53902	-0.833019	2.84047	-1.88934
61	Surface 13	27630	9.665	161.663	-2.76	-738.301	-81.0844	-4.09495	2.45521	8.43829	-1.23299	5.26796	-1.95367
62	Surface 13	27836	9.665	-180.0	-1.84	-647.412	-54.5201	-2.72162	5.18043	5.90489	-0.0254391	0.457863	-3.11499
63	Surface 13	27842	9.665	173.888	-1.84	-647.88	-54.1515	0.387556	5.01505	5.89744	-0.47077	1.19258	-3.14641
64	Surface 13	27846	9.665	167.775	-1.84	-648.422	-54.2941	0.733775	4.29353	5.85261	-0.902478	2.60523	-3.08473
65	Surface 13	27851	9.665	161.663	-1.84	-649.543	-53.8561	-5.05937	3.34988	5.81112	-1.33107	4.80174	-3.12285
66	Surface 13	28057	9.665	-180.0	-0.92	-555.419	-27.2429	-2.34962	6.16474	2.7642	-0.0237025	0.364828	-2.83529
67	Surface 13	28061	9.665	173.888	-0.92	-555.841	-26.9741	0.27628	5.9876	2.7658	-0.426549	1.09578	-2.87694
68	Surface 13	28065	9.665	167.775	-0.92	-555.713	-27.1248	0.485035	5.2319	2.75505	-0.818303	2.38008	-2.83456
69	Surface 13	28071	9.665	161.663	-0.92	-556.742	-26.8698	-5.19036	4.24573	2.76169	-1.21372	4.26981	-2.90819
70	Surface 13	28275	9.665	-180.0	0.0	-464.09	-4.54736	-1.79463	7.14701	1.36921	-0.0201303	0.351872	-2.33435
71	Surface 13	28282	9.665	173.888	0.0	-462.227	-4.0967	0.192477	6.98396	1.37622	-0.377427	2.27451	-2.40634
72	Surface 13	28286	9.665	167.775	0.0	-464.427	-4.56014	0.292752	6.20171	1.37649	-0.724598	4.61492	-2.36425
73	Surface 13	28291	9.665	161.663	0.0	-462.656	-3.97911	-4.66535	5.21714	1.39966	-1.0896	7.3317	-2.48875
74	Surface 14	27096	9.665	-172.251	-4.6	-892.568	-139.175	1.63524	0.864354	7.05215	0.504786	-2.67241	4.20206
75	Surface 14	27108	9.665	-180.0	-4.6	-892.146	-139.361	-2.14232	1.20549	7.11573	-0.0235621	0.638622	4.21729
76	Surface 14	27389	9.665	-172.251	-3.68	-818.029	-109.431	2.17249	2.60003	9.32134	0.518738	-2.51695	1.15343
77	Surface 14	27396	9.665	-180.0	-3.68	-817.6	-109.605	-2.32874	2.95387	9.37856	-0.0261239	0.581884	1.15929
78	Surface 14	27610	9.665	-172.251	-2.76	-736.087	-81.6672	2.72006	3.84778	8.59873	0.545694	-2.33266	-1.89822
79	Surface 14	27617	9.665	-180.0	-2.76	-735.672	-81.8014	-2.52729	4.21246	8.64016	-0.0274657	0.521474	-1.9038
80	Surface 14	27830	9.665	-172.251	-1.84	-647.695	-54.4538	3.17749	4.80507	5.88833	0.59409	-2.121	-3.10653
81	Surface 14	27836	9.665	-180.0	-1.84	-647.412	-54.5201	-2.72162	5.18043	5.90489	-0.0254391	0.457863	-3.11499
82	Surface 14	28051	9.665	-172.251	-0.92	-555.553	-27.2213	2.86338	5.77288	2.7646	0.547967	-1.88207	-2.8443
83	Surface 14	28057	9.665	-180.0	-0.92	-555.419	-27.2429	-2.34962	6.16474	2.7642	-0.0237025	0.364828	-2.83529
84	Surface 14	28271	9.665	-172.251	0.0	-464.237	-4.54883	2.27895	6.74874	1.37332	0.493935	-3.33131	-2.35838
85	Surface 14	28275	9.665	-180.0	0.0	-464.09	-4.54736	-1.79463	7.14701	1.36921	-0.0201303	0.351872	-2.33435
86	Surface 15	27087	9.665	-166.683	-4.6	-894.123	-138.849	-1.29221	0.164697	6.92239	0.823545	-5.94245	4.17336
87	Surface 15	27096	9.665	-172.251	-4.6	-892.568	-139.175	1.63524	0.864354	7.05215	0.504786	-2.67241	4.20206
88	Surface 15	27383	9.665	-166.683	-3.68	-819.572	-109.108	-0.788534	1.86959	9.20053	0.842676	-5.57608	1.13619
89	Surface 15	27389	9.665	-172.251	-3.68	-818.029	-109.431	2.17249	2.60003	9.32134	0.518738	-2.51695	1.15343
90	Surface 15	27605	9.665	-166.683	-2.76	-737.541	-81.2847	-0.236479	3.08876	8.49853	0.882184	-5.15123	-1.89865
91	Surface 15	27610	9.665	-172.251	-2.76	-736.087	-81.6672	2.72006	3.84778	8.59873	0.545694	-2.33266	-1.89822
92	Surface 15	27823	9.665	-166.683	-1.84	-648.951	-53.957	0.207432	4.01971	5.82932	0.957578	-4.65718	-3.08154
93	Surface 15	27830	9.665	-172.251	-1.84	-647.695	-54.4538	3.17749	4.80507	5.88833	0.59409	-2.121	-3.10653
94	Surface 15	28043	9.665	-166.683	-0.92	-556.109	-26.8795	0.368722	4.95614	2.7504	0.874161	-4.14174	-2.84206
95	Surface 15	28051	9.665	-172.251	-0.92	-555.553	-27.2213	2.86338	5.77288	2.7646	0.547967	-1.88207	-2.8443
96	Surface 15	28265	9.665	-166.683	0.0	-462.618	-4.11799	0.295734	5.948	1.38355	0.779925	-6.31393	-2.39977
