Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	26/11/19
8	Time	11:49
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Cylindrical
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
117:Internal Structures Live Load - Results - 26:Increment 26
 
	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
2	Surface 2	27114	9.665	7.01648E-15	-4.6	-892.11	-139.38	2.11191	1.26939	7.12733	0.0199602	-0.665776	4.22359
3	Surface 2	27118	9.665	6.11244	-4.6	-892.795	-139.228	-0.92303	1.09932	7.0971	0.409704	-1.48603	4.18145
4	Surface 2	27124	9.665	12.2246	-4.6	-893.413	-139.0	-1.82182	0.440498	6.97535	0.787572	-3.23017	4.20029
5	Surface 2	27135	9.665	18.3371	-4.6	-894.905	-138.563	1.98652	-0.421765	6.82002	1.15642	-6.0534	4.0987
6	Surface 2	27400	9.665	4.20989E-15	-3.68	-817.557	-109.617	2.30766	3.02343	9.391	0.0236017	-0.608191	1.16459
7	Surface 2	27403	9.665	6.11242	-3.68	-818.223	-109.468	-0.724957	2.84398	9.36444	0.418864	-1.41535	1.12464
8	Surface 2	27407	9.665	12.2246	-3.68	-818.863	-109.258	-1.43768	2.1517	9.25232	0.804633	-3.06818	1.15767
9	Surface 2	27413	9.665	18.3371	-3.68	-820.353	-108.865	2.99907	1.25056	9.11409	1.18795	-5.70584	1.07295
10	Surface 2	27619	9.665	1.4033E-15	-2.76	-735.619	-81.8078	2.51498	4.28747	8.65215	0.0265643	-0.546811	-1.90012
11	Surface 2	27623	9.665	6.11241	-2.76	-736.24	-81.6377	-0.526288	4.09849	8.63068	0.439043	-1.32706	-1.93933
12	Surface 2	27627	9.665	12.2246	-2.76	-736.863	-81.4644	-1.04612	3.3761	8.54383	0.842357	-2.87012	-1.88369
13	Surface 2	27633	9.665	18.3371	-2.76	-738.292	-81.0892	4.07011	2.43843	8.4402	1.24666	-5.29798	-1.94742
14	Surface 2	27840	9.665	1.4033E-15	-1.84	-647.351	-54.5224	2.71687	5.26063	5.91446	0.0268333	-0.482106	-3.11374
15	Surface 2	27844	9.665	6.11241	-1.84	-647.831	-54.1542	-0.396303	5.06382	5.90459	0.477542	-1.21989	-3.14395
16	Surface 2	27847	9.665	12.2246	-1.84	-648.386	-54.2971	-0.745613	4.31004	5.85732	0.914213	-2.63405	-3.0812
