Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	26/11/19
8	Time	11:49
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Cylindrical
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
29:D-Walls S - 1:Increment 1
 
	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
2	Surface 2	27114	9.665	7.01648E-15	-4.6	-475.291	-0.822607	2.52849	-4.81856	5.2881	0.0405425	-0.37232	2.15943
3	Surface 2	27118	9.665	6.11244	-4.6	-475.627	-0.737734	0.0483439	-4.78802	5.2944	0.0200059	-0.541136	2.1212
4	Surface 2	27124	9.665	12.2246	-4.6	-475.783	-0.609695	0.0729188	-4.73211	5.30117	0.0212404	-1.24765	2.16941
5	Surface 2	27135	9.665	18.3371	-4.6	-476.392	-0.41946	5.691	-4.68364	5.30627	0.0848073	-2.60102	2.10324
6	Surface 2	27400	9.665	4.20989E-15	-3.68	-391.487	-0.194598	2.69239	-3.53927	6.41138	0.0441061	-0.304446	0.100731
7	Surface 2	27403	9.665	6.11242	-3.68	-391.777	-0.0908183	0.0627837	-3.51116	6.41776	0.0195953	-0.440902	0.0624285
8	Surface 2	27407	9.665	12.2246	-3.68	-391.911	0.0787862	0.0978967	-3.46119	6.42505	0.0198181	-1.022	0.118198
9	Surface 2	27413	9.665	18.3371	-3.68	-392.437	0.322837	6.10809	-3.41761	6.43133	0.088589	-2.13847	0.0551575
10	Surface 2	27619	9.665	1.4033E-15	-2.76	-301.999	-0.103333	2.85513	-2.56412	5.648	0.0466542	-0.233948	-1.70381
11	Surface 2	27623	9.665	6.11241	-2.76	-302.223	0.0408988	0.0563397	-2.53878	5.6531	0.022088	-0.329379	-1.74535
12	Surface 2	27627	9.665	12.2246	-2.76	-302.292	0.217265	0.0884213	-2.4917	5.67044	0.0231112	-0.773796	-1.67497
13	Surface 2	27633	9.665	18.3371	-2.76	-302.686	0.517638	6.49194	-2.45204	5.68251	0.0959495	-1.63866	-1.73588
14	Surface 2	27840	9.665	1.4033E-15	-1.84	-207.974	-0.280065	3.03461	-1.7487	3.76957	0.0477301	-0.161616	-2.30213
15	Surface 2	27844	9.665	6.11241	-1.84	-208.042	0.102396	-0.0514542	-1.72445	3.77645	0.030826	-0.207024	-2.34038
