Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	26/11/19
8	Time	11:49
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Cylindrical
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
30:D-Walls SW+S - 2:Increment 2
 
	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
2	Surface 2	27114	9.665	7.01648E-15	-4.6	-475.559	-137.258	2.36176	-4.46555	5.37755	0.0384697	-0.350497	2.14697
3	Surface 2	27118	9.665	6.11244	-4.6	-475.891	-137.174	0.0437599	-4.43475	5.38381	0.020251	-0.507801	2.11078
4	Surface 2	27124	9.665	12.2246	-4.6	-476.038	-137.051	0.0658927	-4.37886	5.39068	0.0219073	-1.17359	2.1553
5	Surface 2	27135	9.665	18.3371	-4.6	-476.634	-136.865	5.31154	-4.32997	5.39589	0.0811907	-2.45035	2.09259
6	Surface 2	27400	9.665	4.20989E-15	-3.68	-391.506	-108.476	2.52629	-3.25438	6.49335	0.0419412	-0.286976	0.0955361
7	Surface 2	27403	9.665	6.11242	-3.68	-391.793	-108.376	0.0572784	-3.22611	6.49961	0.019799	-0.414449	0.0592155
8	Surface 2	27407	9.665	12.2246	-3.68	-391.919	-108.214	0.0894025	-3.17635	6.50683	0.0204708	-0.963044	0.111017
9	Surface 2	27413	9.665	18.3371	-3.68	-392.434	-107.978	5.72789	-3.13265	6.51302	0.0849603	-2.0181	0.0511527
10	Surface 2	27619	9.665	1.4033E-15	-2.76	-301.962	-81.3044	2.68959	-2.34671	5.72439	0.0444216	-0.220734	-1.71254
11	Surface 2	27623	9.665	6.11241	-2.76	-302.184	-81.1663	0.0511328	-2.3213	5.72934	0.0220672	-0.310013	-1.752
12	Surface 2	27627	9.665	12.2246	-2.76	-302.249	-80.9981	0.0804357	-2.27476	5.74596	0.0234688	-0.730257	-1.68622
13	Surface 2	27633	9.665	18.3371	-2.76	-302.637	-80.7109	6.11246	-2.2353	5.75747	0.0920771	-1.54879	-1.74419
14	Surface 2	27840	9.665	1.4033E-15	-1.84	-207.845	-54.4011	2.86668	-1.59979	3.83469	0.0454531	-0.152541	-2.32043
15	Surface 2	27844	9.665	6.11241	-1.84	-207.917	-54.0382	-0.0506789	-1.57563	3.84124	0.0302021	-0.194951	-2.35681
