Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	26/11/19
8	Time	11:49
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Cylindrical
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
31:D-Walls SW+S+HC - 3:Increment 3
 
	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
2	Surface 2	27114	9.665	7.01648E-15	-4.6	-475.558	-137.258	2.36173	-4.46391	5.37781	0.038487	-0.350491	2.14701
3	Surface 2	27118	9.665	6.11244	-4.6	-475.89	-137.175	0.0436068	-4.43313	5.38406	0.0202975	-0.507871	2.11083
4	Surface 2	27124	9.665	12.2246	-4.6	-476.037	-137.052	0.0656307	-4.37735	5.39091	0.0219791	-1.17373	2.15534
5	Surface 2	27135	9.665	18.3371	-4.6	-476.633	-136.866	5.31118	-4.32861	5.3961	0.0812819	-2.45053	2.09263
6	Surface 2	27400	9.665	4.20989E-15	-3.68	-391.505	-108.477	2.52626	-3.25271	6.49361	0.0419572	-0.286971	0.0955448
7	Surface 2	27403	9.665	6.11242	-3.68	-391.792	-108.376	0.0571525	-3.22447	6.49987	0.0198464	-0.414521	0.0592218
8	Surface 2	27407	9.665	12.2246	-3.68	-391.918	-108.214	0.0891931	-3.17482	6.50707	0.0205455	-0.963183	0.111023
9	Surface 2	27413	9.665	18.3371	-3.68	-392.434	-107.979	5.72761	-3.13126	6.51323	0.0850566	-2.01828	0.051156
10	Surface 2	27619	9.665	1.4033E-15	-2.76	-301.961	-81.3047	2.68956	-2.345	5.72461	0.0444363	-0.220731	-1.71256
11	Surface 2	27623	9.665	6.11241	-2.76	-302.183	-81.1666	0.0510377	-2.31963	5.72955	0.0221168	-0.310086	-1.75203
12	Surface 2	27627	9.665	12.2246	-2.76	-302.248	-80.9984	0.0802832	-2.2732	5.74617	0.0235492	-0.730396	-1.68625
13	Surface 2	27633	9.665	18.3371	-2.76	-302.636	-80.7112	6.11226	-2.23389	5.75766	0.0921821	-1.54898	-1.74422
14	Surface 2	27840	9.665	1.4033E-15	-1.84	-207.844	-54.4012	2.86666	-1.59806	3.83484	0.0454668	-0.152539	-2.32048
15	Surface 2	27844	9.665	6.11241	-1.84	-207.916	-54.0384	-0.0507388	-1.57394	3.84139	0.030256	-0.195024	-2.35686
