Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	26/11/19
8	Time	11:50
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Cylindrical
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
141:Seismic 4 - Results - 28:Increment 28
 
	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
2	Surface 2	27114	9.665	7.01648E-15	-4.6	-907.127	-140.799	12.4686	-15.7119	3.69145	0.215452	-1.48529	3.90418
3	Surface 2	27118	9.665	6.11244	-4.6	-905.473	-140.879	9.14557	-16.1373	3.57451	0.10456	-1.02919	3.86125
4	Surface 2	27124	9.665	12.2246	-4.6	-903.833	-140.834	7.83983	-15.7551	3.62671	-6.31282E-3	-1.73914	3.90195
5	Surface 2	27135	9.665	18.3371	-4.6	-903.41	-140.581	11.1915	-15.0755	3.75274	-0.0475921	-3.86268	3.87367
6	Surface 2	27400	9.665	4.20989E-15	-3.68	-833.318	-110.795	10.5961	-14.4387	6.20221	0.21759	-1.42158	1.05624
7	Surface 2	27403	9.665	6.11242	-3.68	-831.652	-110.787	7.31554	-14.8725	6.09672	0.105448	-0.945418	1.02042
8	Surface 2	27407	9.665	12.2246	-3.68	-829.994	-110.676	6.25704	-14.4984	6.15242	-2.24012E-3	-1.55799	1.06676
9	Surface 2	27413	9.665	18.3371	-3.68	-829.513	-110.392	10.3079	-13.823	6.2727	-0.0369864	-3.49158	1.02594
10	Surface 2	27619	9.665	1.4033E-15	-2.76	-751.975	-82.7577	8.81904	-13.621	5.93945	0.235787	-1.34474	-1.73855
11	Surface 2	27623	9.665	6.11241	-2.76	-750.258	-82.6589	5.52763	-14.0644	5.8514	0.116464	-0.847625	-1.77109
12	Surface 2	27627	9.665	12.2246	-2.76	-748.538	-82.5235	4.69121	-13.6977	5.91816	2.99138E-3	-1.35543	-1.71522
13	Surface 2	27633	9.665	18.3371	-2.76	-747.943	-82.2057	9.4833	-13.0284	6.02684	-0.0351688	-3.08286	-1.77424
14	Surface 2	27840	9.665	1.4033E-15	-1.84	-663.802	-55.2169	7.04243	-13.0634	3.9792	0.278843	-1.25427	-2.6359
15	Surface 2	27844	9.665	6.11241	-1.84	-661.916	-54.8588	3.63755	-13.5173	3.92045	0.1435	-0.738787	-2.66599
