Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	26/11/19
8	Time	11:50
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Cylindrical
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
160:Disproportional Collapse T1 Column1 - Results - 25:Increment 25
 
	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
2	Surface 2	27114	9.665	7.01648E-15	-4.6	-892.236	-139.53	2.28896	1.02562	7.08516	-0.0908246	-0.619829	4.21076
3	Surface 2	27118	9.665	6.11244	-4.6	-892.883	-139.351	-0.790911	0.913564	7.06087	0.291585	-1.4342	4.17625
4	Surface 2	27124	9.665	12.2246	-4.6	-893.467	-139.096	-1.72673	0.311944	6.9468	0.666574	-3.17608	4.20097
5	Surface 2	27135	9.665	18.3371	-4.6	-894.93	-138.636	2.05506	-0.501509	6.79912	1.03585	-5.99881	4.10329
6	Surface 2	27400	9.665	4.20989E-15	-3.68	-817.681	-109.726	2.45209	2.77035	9.34764	-0.0910933	-0.555069	1.15859
7	Surface 2	27403	9.665	6.11242	-3.68	-818.302	-109.555	-0.623138	2.65463	9.32949	0.298153	-1.35812	1.12502
8	Surface 2	27407	9.665	12.2246	-3.68	-818.904	-109.325	-1.36938	2.02378	9.22657	0.682095	-3.01011	1.16256
9	Surface 2	27413	9.665	18.3371	-3.68	-820.364	-108.913	3.04458	1.17443	9.0967	1.06658	-5.64825	1.08029
10	Surface 2	27619	9.665	1.4033E-15	-2.76	-735.734	-81.8799	2.62217	4.02748	8.61329	-0.0910739	-0.487974	-1.89876
11	Surface 2	27623	9.665	6.11241	-2.76	-736.302	-81.6935	-0.457077	3.90741	8.6013	0.316081	-1.26595	-1.93361
12	Surface 2	27627	9.665	12.2246	-2.76	-736.883	-81.5058	-1.0053	3.25017	8.52379	0.718124	-2.80952	-1.87537
13	Surface 2	27633	9.665	18.3371	-2.76	-738.281	-81.1183	4.09307	2.36684	8.42788	1.12397	-5.23874	-1.9385
14	Surface 2	27840	9.665	1.4033E-15	-1.84	-647.436	-54.5634	2.78177	4.99562	5.88622	-0.0939982	-0.419827	-3.10568
15	Surface 2	27844	9.665	6.11241	-1.84	-647.859	-54.1844	-0.362254	4.87232	5.88469	0.351468	-1.15697	-3.13438
16	Surface 2	27847	9.665	12.2246	-1.84	-648.371	-54.319	-0.732747	4.18692	5.84497	0.78707	-2.57271	-3.07138
