Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	04/11/19
8	Time	11:49
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Local
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
162:Disproportional Collapse T1 Column1 and 2 - Results - 27:Increment 27
 
	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
1	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
2	Line 25104	3551	8.9	7.01648E-15	-65.7	-320.86	-131.678	-749.513	0.0	-54.5095	-3.99069E-3
3	Line 25104	3552	9.665	7.01648E-15	-65.7	-320.86	-131.678	-749.513	0.0	-54.5095	-3.99069E-3
4	Line 25104	3617	8.9	12.2246	-65.7	-416.416	-844.234	-1.43153E3	0.0	-18.4834	-1.01823E-3
5	Line 25104	3586	8.9	6.11244	-65.7	-455.549	-597.774	-1.70533E3	0.0	-37.6496	-3.4839E-3
6	Line 25104	3591	9.665	6.11244	-65.7	-455.549	-597.774	-1.70533E3	0.0	-37.6496	-3.4839E-3
7	Line 25104	3655	8.9	18.3371	-65.7	-178.68	-349.298	-323.519	0.0	-7.35302	-3.17104E-3
8	Line 25104	3627	9.665	12.2246	-65.7	-416.416	-844.234	-1.43153E3	0.0	-18.4834	-1.01823E-3
9	Line 25104	3676	9.665	18.3371	-65.7	-178.68	-349.298	-323.519	0.0	-7.35302	-3.17104E-3
10	Line 25108	3511	8.9	-7.74887	-65.7	-260.595	34.2765	-245.864	0.0	-64.7601	-0.685602E-3
11	Line 25108	3551	8.9	7.01648E-15	-65.7	-320.86	-131.678	-749.513	0.0	-54.5095	-3.99069E-3
12	Line 25108	3499	9.665	-7.74887	-65.7	-260.595	34.2765	-245.864	0.0	-64.7601	-0.685602E-3
13	Line 25108	3552	9.665	7.01648E-15	-65.7	-320.86	-131.678	-749.513	0.0	-54.5095	-3.99069E-3
14	Line 25109	3646	8.9	161.663	-65.7	-162.475	374.363	-137.916	0.0	-35.1794	-0.269654E-3
15	Line 25109	3668	9.665	161.663	-65.7	-162.475	374.363	-137.916	0.0	-35.1794	-0.269654E-3
16	Line 25109	3616	8.9	167.775	-65.7	-384.031	813.431	-1.31489E3	0.0	-142.068	-8.56983E-3
17	Line 25109	3584	8.9	173.888	-65.7	-410.027	509.002	-1.80491E3	0.0	-87.2624	-2.34055E-3
18	Line 25109	3623	9.665	167.775	-65.7	-384.031	813.431	-1.31489E3	0.0	-142.068	-8.56983E-3
19	Line 25109	3550	8.9	-180.0	-65.7	-204.342	110.095	-973.617	0.0	-10.6918	0.552523E-3
20	Line 25109	3587	9.665	173.888	-65.7	-410.027	509.002	-1.80491E3	0.0	-87.2624	-2.34055E-3
21	Line 25109	3547	9.665	-180.0	-65.7	-204.342	110.095	-973.617	0.0	-10.6918	0.552523E-3
22	Line 25110	3550	8.9	-180.0	-65.7	-204.342	110.095	-973.617	0.0	-10.6918	0.552523E-3
23	Line 25110	3502	8.9	-172.251	-65.7	-204.578	-38.8335	-543.82	0.0	-19.1037	-2.73459E-3
24	Line 25110	3547	9.665	-180.0	-65.7	-204.342	110.095	-973.617	0.0	-10.6918	0.552523E-3
25	Line 25110	3494	9.665	-172.251	-65.7	-204.578	-38.8335	-543.82	0.0	-19.1037	-2.73459E-3
26	Line 25114	3131	8.9	-37.9822	-65.7	-70.5119	122.273	334.027	0.0	45.7529	0.198151E-3
27	Line 25114	3102	9.665	-37.9822	-65.7	-70.5119	122.273	334.027	0.0	45.7529	0.198151E-3
28	Line 25114	3178	8.9	-33.0518	-65.7	-260.435	483.484	799.753	0.0	9.14806	1.33423E-3
29	Line 25114	3233	8.9	-28.1214	-65.7	-115.525	237.73	212.786	0.0	-21.0037	-63.5043E-6
30	Line 25114	3144	9.665	-33.0518	-65.7	-260.435	483.484	799.753	0.0	9.14806	1.33423E-3
31	Line 25114	3201	9.665	-28.1214	-65.7	-115.525	237.73	212.786	0.0	-21.0037	-63.5043E-6
32	Line 25115	3233	8.9	-28.1214	-65.7	-115.525	237.73	212.786	0.0	-21.0037	-63.5043E-6
33	Line 25115	3201	9.665	-28.1214	-65.7	-115.525	237.73	212.786	0.0	-21.0037	-63.5043E-6
34	Line 25115	3295	8.9	-24.9197	-65.7	-66.721	124.382	90.7676	0.0	-19.3659	0.106432E-3
35	Line 25115	3260	8.9	-26.5207	-65.7	-125.052	236.312	184.485	0.0	-17.666	0.277877E-3
36	Line 25115	3220	9.665	-26.5207	-65.7	-125.052	236.312	184.485	0.0	-17.666	0.277877E-3
37	Line 25115	3255	9.665	-24.9197	-65.7	-66.721	124.382	90.7676	0.0	-19.3659	0.106432E-3
38	Line 25118	3295	8.9	-24.9197	-65.7	-66.721	124.382	90.7676	0.0	-19.3659	0.106432E-3
