Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	26/11/19
8	Time	11:50
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Cylindrical
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
162:Disproportional Collapse T1 Column1 and 2 - Results - 27:Increment 27
 
	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
2	Surface 2	27114	9.665	7.01648E-15	-4.6	-892.082	-139.45	2.19673	1.3347	7.1366	-0.0308141	-0.639616	4.21943
3	Surface 2	27118	9.665	6.11244	-4.6	-892.751	-139.291	-0.865286	1.19246	7.1101	0.358617	-1.46504	4.1803
4	Surface 2	27124	9.665	12.2246	-4.6	-893.357	-139.054	-1.78833	0.552609	6.99128	0.73806	-3.21524	4.20156
5	Surface 2	27135	9.665	18.3371	-4.6	-894.842	-138.609	2.00119	-0.298187	6.83819	1.1097	-6.04391	4.10153
6	Surface 2	27400	9.665	4.20989E-15	-3.68	-817.525	-109.665	2.37717	3.08736	9.39758	-0.0285853	-0.579204	1.16155
7	Surface 2	27403	9.665	6.11242	-3.68	-818.171	-109.509	-0.679019	2.93825	9.37554	0.367064	-1.39214	1.12417
8	Surface 2	27407	9.665	12.2246	-3.68	-818.798	-109.293	-1.41216	2.26679	9.2669	0.755008	-3.05151	1.15916
9	Surface 2	27413	9.665	18.3371	-3.68	-820.279	-108.893	3.00934	1.37843	9.13129	1.14159	-5.69495	1.07562
10	Surface 2	27619	9.665	1.4033E-15	-2.76	-735.582	-81.8367	2.56686	4.3508	8.65655	-0.0269006	-0.515581	-1.90215
11	Surface 2	27623	9.665	6.11241	-2.76	-736.179	-81.6614	-0.493532	4.19448	8.63983	0.38656	-1.30218	-1.93957
12	Surface 2	27627	9.665	12.2246	-2.76	-736.786	-81.4836	-1.0293	3.49459	8.55654	0.792593	-2.85218	-1.88267
13	Surface 2	27633	9.665	18.3371	-2.76	-738.206	-81.1043	4.0756	2.57086	8.45551	1.2006	-5.28606	-1.94577
14	Surface 2	27840	9.665	1.4033E-15	-1.84	-647.305	-54.537	2.74842	5.32402	5.917	-0.0282941	-0.44958	-3.11501
15	Surface 2	27844	9.665	6.11241	-1.84	-647.759	-54.1652	-0.378408	5.16198	5.91121	0.423954	-1.19415	-3.14459
16	Surface 2	27847	9.665	12.2246	-1.84	-648.298	-54.3054	-0.738401	4.4322	5.86683	0.863933	-2.6155	-3.08153
17	Surface 2	27854	9.665	18.3371	-1.84	-649.422	-53.8645	5.0467	3.47532	5.82571	1.30097	-4.81859	-3.1188
18	Surface 2	28060	9.665	4.20989E-15	-0.92	-555.291	-27.2485	2.36112	6.31406	2.77065	-0.0207182	-0.355093	-2.83711
19	Surface 2	28064	9.665	6.11242	-0.92	-555.695	-26.9782	-0.273717	6.14233	2.77348	0.388454	-1.09625	-2.87822
20	Surface 2	28068	9.665	12.2246	-0.92	-555.56	-27.128	-0.489006	5.37955	2.76322	0.787583	-2.38941	-2.83531
21	Surface 2	28073	9.665	18.3371	-0.92	-556.591	-26.8719	5.18379	4.38089	2.77044	1.19029	-4.28567	-2.90872
22	Surface 2	28280	9.665	0.0	0.0	-463.943	-4.54736	1.79724	7.29802	1.37239	-0.0156925	-0.226157	-2.33681
23	Surface 2	28284	9.665	6.11244	0.0	-462.058	-4.09572	-0.194001	7.14099	1.38013	0.347374	-2.17865	-2.40896
24	Surface 2	28287	9.665	12.2246	0.0	-464.25	-4.55869	-0.296659	6.35206	1.38079	0.701073	-4.54967	-2.36669
25	Surface 2	28294	9.665	18.3371	0.0	-462.478	-3.97677	4.6619	5.35517	1.40445	1.07238	-7.29269	-2.49138
26	Surface 3	27135	9.665	18.3371	-4.6	-894.842	-138.609	2.00119	-0.298187	6.83819	1.1097	-6.04391	4.10153
27	Surface 3	27142	9.665	20.819	-4.6	-896.228	-138.43	-2.87015	-1.0112	6.70552	1.20679	-4.85924	4.07664
28	Surface 3	27413	9.665	18.3371	-3.68	-820.279	-108.893	3.00934	1.37843	9.13129	1.14159	-5.69495	1.07562
29	Surface 3	27420	9.665	20.819	-3.68	-821.66	-108.748	-2.24883	0.633939	9.00474	1.23766	-4.62998	1.0527
30	Surface 3	27633	9.665	18.3371	-2.76	-738.206	-81.1043	4.0756	2.57086	8.45551	1.2006	-5.28606	-1.94577
31	Surface 3	27639	9.665	20.819	-2.76	-739.521	-80.9629	-1.56006	1.79493	8.34195	1.29805	-4.35372	-1.96564
32	Surface 3	27854	9.665	18.3371	-1.84	-649.422	-53.8645	5.0467	3.47532	5.82571	1.30097	-4.81859	-3.1188
33	Surface 3	27860	9.665	20.819	-1.84	-650.616	-53.5678	-0.862704	2.66947	5.73504	1.40656	-4.01946	-3.13338
34	Surface 3	28073	9.665	18.3371	-0.92	-556.591	-26.8719	5.18379	4.38089	2.77044	1.19029	-4.28567	-2.90872
35	Surface 3	28078	9.665	20.819	-0.92	-557.573	-26.6627	-0.443755	3.5388	2.71519	1.27901	-3.63775	-2.91238
36	Surface 3	28294	9.665	18.3371	0.0	-462.478	-3.97677	4.6619	5.35517	1.40445	1.07238	-7.29269	-2.49138
37	Surface 3	28300	9.665	20.819	0.0	-460.16	-3.38397	-0.492217	4.53313	1.37862	1.15099	-7.22121	-2.49581
38	Surface 12	27127	9.665	161.663	-4.6	-894.874	-138.631	-2.03431	-0.328432	6.83773	-1.13144	6.03846	4.08975
39	Surface 12	27139	9.665	159.181	-4.6	-896.256	-138.45	2.83911	-1.0368	6.70479	-1.22554	4.85288	4.06457
40	Surface 12	27410	9.665	161.663	-3.68	-820.32	-108.91	-3.03622	1.34062	9.12603	-1.16127	5.68926	1.06575
41	Surface 12	27415	9.665	159.181	-3.68	-821.697	-108.763	2.22434	0.600649	8.99938	-1.25449	4.62342	1.04261
42	Surface 12	27630	9.665	161.663	-2.76	-738.255	-81.1161	-4.09584	2.52619	8.44759	-1.21863	5.28017	-1.95288
43	Surface 12	27635	9.665	159.181	-2.76	-739.566	-80.9736	1.54222	1.75467	8.33408	-1.31333	4.34703	-1.97293
44	Surface 12	27851	9.665	161.663	-1.84	-649.479	-53.8717	-5.06025	3.42454	5.81798	-1.31767	4.8126	-3.12222
45	Surface 12	27856	9.665	159.181	-1.84	-650.669	-53.5741	0.851328	2.62299	5.72747	-1.42055	4.01279	-3.13699
46	Surface 12	28071	9.665	161.663	-0.92	-556.653	-26.8753	-5.19102	4.32455	2.76557	-1.2035	4.27974	-2.90863
47	Surface 12	28076	9.665	159.181	-0.92	-557.632	-26.6656	0.438235	3.48662	2.71048	-1.28987	3.63126	-2.91249
48	Surface 12	28291	9.665	161.663	0.0	-462.537	-3.97765	-4.66589	5.29736	1.40176	-1.08238	7.3189	-2.48986
49	Surface 12	28296	9.665	159.181	0.0	-460.217	-3.38479	0.489596	4.47942	1.37606	-1.15899	7.23991	-2.49448
50	Surface 13	27108	9.665	-180.0	-4.6	-892.124	-139.47	-2.23807	1.29122	7.14394	-8.55494E-3	0.64272	4.20683
51	Surface 13	27116	9.665	173.888	-4.6	-892.792	-139.314	0.823893	1.15087	7.11412	-0.392043	1.4642	4.16784
52	Surface 13	27123	9.665	167.775	-4.6	-893.394	-139.077	1.75042	0.516332	6.99283	-0.765479	3.21157	4.18933
53	Surface 13	27127	9.665	161.663	-4.6	-894.874	-138.631	-2.03431	-0.328432	6.83773	-1.13144	6.03846	4.08975
