Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	04/11/19
8	Time	11:49
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Local
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
164:Disproportional Collapse T2 Column2 - Results - 29:Increment 29
 
	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
1	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
2	Line 25104	3551	8.9	7.01648E-15	-65.7	-289.384	-128.171	-823.398	0.0	-60.0006	-3.99636E-3
3	Line 25104	3552	9.665	7.01648E-15	-65.7	-289.384	-128.171	-823.398	0.0	-60.0006	-3.99636E-3
4	Line 25104	3617	8.9	12.2246	-65.7	-362.884	-862.301	-1.54556E3	0.0	-8.46304	-1.335E-3
5	Line 25104	3586	8.9	6.11244	-65.7	-416.618	-602.437	-1.83599E3	0.0	-38.6309	-3.41737E-3
6	Line 25104	3591	9.665	6.11244	-65.7	-416.618	-602.437	-1.83599E3	0.0	-38.6309	-3.41737E-3
7	Line 25104	3655	8.9	18.3371	-65.7	-153.799	-352.449	-354.318	0.0	-2.67039	-3.88405E-3
8	Line 25104	3627	9.665	12.2246	-65.7	-362.884	-862.301	-1.54556E3	0.0	-8.46304	-1.335E-3
9	Line 25104	3676	9.665	18.3371	-65.7	-153.799	-352.449	-354.318	0.0	-2.67039	-3.88405E-3
10	Line 25108	3511	8.9	-7.74887	-65.7	-228.178	23.3507	-284.507	0.0	-69.7427	-0.601547E-3
11	Line 25108	3551	8.9	7.01648E-15	-65.7	-289.384	-128.171	-823.398	0.0	-60.0006	-3.99636E-3
12	Line 25108	3499	9.665	-7.74887	-65.7	-228.178	23.3507	-284.507	0.0	-69.7427	-0.601547E-3
13	Line 25108	3552	9.665	7.01648E-15	-65.7	-289.384	-128.171	-823.398	0.0	-60.0006	-3.99636E-3
14	Line 25109	3646	8.9	161.663	-65.7	-188.114	355.721	-168.159	0.0	-42.0589	-0.513143E-3
15	Line 25109	3668	9.665	161.663	-65.7	-188.114	355.721	-168.159	0.0	-42.0589	-0.513143E-3
16	Line 25109	3616	8.9	167.775	-65.7	-440.565	765.461	-1.34052E3	0.0	-156.157	-0.0102421
17	Line 25109	3584	8.9	173.888	-65.7	-446.677	475.673	-1.80524E3	0.0	-96.0368	-2.59935E-3
18	Line 25109	3623	9.665	167.775	-65.7	-440.565	765.461	-1.34052E3	0.0	-156.157	-0.0102421
19	Line 25109	3550	8.9	-180.0	-65.7	-225.264	103.716	-966.502	0.0	-14.1623	0.804794E-3
20	Line 25109	3587	9.665	173.888	-65.7	-446.677	475.673	-1.80524E3	0.0	-96.0368	-2.59935E-3
21	Line 25109	3547	9.665	-180.0	-65.7	-225.264	103.716	-966.502	0.0	-14.1623	0.804794E-3
22	Line 25110	3550	8.9	-180.0	-65.7	-225.264	103.716	-966.502	0.0	-14.1623	0.804794E-3
23	Line 25110	3502	8.9	-172.251	-65.7	-226.118	-36.8556	-537.454	0.0	-21.853	-2.02757E-3
24	Line 25110	3547	9.665	-180.0	-65.7	-225.264	103.716	-966.502	0.0	-14.1623	0.804794E-3
25	Line 25110	3494	9.665	-172.251	-65.7	-226.118	-36.8556	-537.454	0.0	-21.853	-2.02757E-3
26	Line 25114	3131	8.9	-37.9822	-65.7	-52.1062	129.302	339.073	0.0	48.513	0.258394E-3
27	Line 25114	3102	9.665	-37.9822	-65.7	-52.1062	129.302	339.073	0.0	48.513	0.258394E-3
28	Line 25114	3178	8.9	-33.0518	-65.7	-213.145	491.744	790.247	0.0	18.3948	1.35623E-3
29	Line 25114	3233	8.9	-28.1214	-65.7	-100.675	237.64	210.951	0.0	-20.1043	-59.6305E-6
30	Line 25114	3144	9.665	-33.0518	-65.7	-213.145	491.744	790.247	0.0	18.3948	1.35623E-3
31	Line 25114	3201	9.665	-28.1214	-65.7	-100.675	237.64	210.951	0.0	-20.1043	-59.6305E-6
32	Line 25115	3233	8.9	-28.1214	-65.7	-100.675	237.64	210.951	0.0	-20.1043	-59.6305E-6
33	Line 25115	3201	9.665	-28.1214	-65.7	-100.675	237.64	210.951	0.0	-20.1043	-59.6305E-6
34	Line 25115	3295	8.9	-24.9197	-65.7	-59.9491	123.449	89.4326	0.0	-18.7246	0.124752E-3
35	Line 25115	3260	8.9	-26.5207	-65.7	-111.524	235.322	182.218	0.0	-15.9449	0.312207E-3
36	Line 25115	3220	9.665	-26.5207	-65.7	-111.524	235.322	182.218	0.0	-15.9449	0.312207E-3
37	Line 25115	3255	9.665	-24.9197	-65.7	-59.9491	123.449	89.4326	0.0	-18.7246	0.124752E-3
38	Line 25118	3295	8.9	-24.9197	-65.7	-59.9491	123.449	89.4326	0.0	-18.7246	0.124752E-3
39	Line 25118	3255	9.665	-24.9197	-65.7	-59.9491	123.449	89.4326	0.0	-18.7246	0.124752E-3
40	Line 25118	3309	8.9	-23.1855	-65.7	-75.2963	147.101	100.86	0.0	-22.5632	0.322207E-3
41	Line 25118	3284	9.665	-23.1855	-65.7	-75.2963	147.101	100.86	0.0	-22.5632	0.322207E-3
42	Line 25119	3309	8.9	-23.1855	-65.7	-75.2963	147.101	100.86	0.0	-22.5632	0.322207E-3
43	Line 25119	3284	9.665	-23.1855	-65.7	-75.2963	147.101	100.86	0.0	-22.5632	0.322207E-3
44	Line 25119	3348	8.9	-20.819	-65.7	-77.5396	137.239	97.252	0.0	-38.4289	0.391411E-3
45	Line 25119	3329	9.665	-20.819	-65.7	-77.5396	137.239	97.252	0.0	-38.4289	0.391411E-3
